EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010530629,PORTLAND NORDIC,% ROBERT RAVENELLE,PORTLAND ME 04104-7260,AFGHANISTAN,,00000-0000,0000,03,3,2000,200201,1,15,000000000,1,01,202106,0,0,02,0,06,0,0,0,N68,
010674605,IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC,% RODOLFO O FONT,PO BOX 3869,CAROLINA,PR,00984-3869,0000,03,3,7000,201611,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010674736,US-JAPAN RELATIONSHIP FUND INC,% TATSUHIKO WAKAO,KAWASAKI KANAGAWA 216-0033,JAPAN,,00000-0000,0000,03,3,1200,200401,1,15,000000000,1,01,202012,1,0,02,0,12,3164,0,0,Q20,
010678163,FOREST HILLS NEIGHBORHOOD ALLIANCE INC,% DENISE WARNER,WASHINGTON DC 20008,NAMIBIA,,00000-0000,0000,03,3,1000,200206,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A80,
010728628,INTERSECTIONS INC,,PO BOX 1715,PAGO PAGO,AS,96799-1715,0000,03,3,1000,200211,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,O50,
020533102,PATHSTONE CORPORATION,,VILLA NEVAREZ CALLE 5 STE 1122,SAN JUAN,PR,00927-0000,9113,03,9,1000,198209,1,15,994566560,1,01,,0,0,01,0,09,,,,,PARQUE PLATINO INC
030182719,PROCTOR CEMETERY ASSOC,% WIN THOMAS,CHRISTIANSTED VI 00820,BRITISH VIRGIN ISLANDS,,00000-0000,0000,13,3,1000,201705,1,00,900000000,5,01,202112,0,0,02,0,12,0,0,0,Y50,
030356850,KOSA COMMUNICATIONS LTD,% PETER B WILDER,MONTREAL QUEBEC H3C 2S1,CANADA,,00000-0000,0000,03,3,1000,201808,1,16,000000000,1,01,202012,1,2,02,0,12,4833,12071,12071,Q21,
030474336,THINK TANK ROMANIA INC,% C/O DAVID SOMLYO,BUCHAREST SECTOR 1 010667,ROMANIA,,00000-0000,0000,03,3,2000,200410,1,15,000000000,1,01,202203,0,0,02,0,03,0,0,0,Q70,
042674407,EPIGRAPHIC SOCIETY INC,% JULIAN FELL,ERRINGTON BC V0R1V0,CANADA,,00000-0000,0000,03,3,1000,197906,1,16,995120199,1,01,202005,4,1,02,0,05,211561,3473,3473,,
043228309,NEW ENGLAND STRING ENSEMBLE INC,% GIRARD HEALY,NEWTON 02564,MADAGASCAR,,00000-0000,0000,03,3,2000,199412,1,15,995090119,1,01,202106,0,0,02,0,06,0,0,0,A6C,
043310091,RED KNIGHTS INTERNATIONAL MOTORCYCLE CLUB INC,% SCOTT RYAN,CHARLOTTETOWN PE CA C1A 7K7,CANADA,,00000-0000,0000,07,3,1000,199805,2,00,281000000,1,01,202012,5,4,01,0,12,603837,172838,172838,,
043319132,OTTOMAN STUDIES FOUNDATION INC,,FATIH ISTANBUL TURKEY,TURKEY,,00000-0000,0000,03,3,2000,199806,2,16,092000000,1,01,202012,3,3,02,0,12,97191,31790,31790,A76P,
043509510,DO THE RIGHT THING FOUNDATION TR,% BARRY E SCHWARTZ,ESCAZU SAN JOSE CS 10201,COSTA RICA,,00000-0000,0000,03,3,1000,200008,2,04,000000000,2,01,202012,4,1,00,1,12,162252,8165,,T20,
043575007,PENTECOSTAL MOVEMENT COUNCIL INC,% GENARO TORRES,PO BOX 6193,ST CROIX,VI,00823-6193,0000,03,3,7000,200510,1,10,000000000,1,01,,0,0,06,0,05,,,,X20,
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
043720924,GLOBAL EQUIP MINISTRIES,% PAUL PERRY,BELO HORIZONTE MG 30331-970,BRAZIL,,00000-0000,1894,03,9,7000,196709,1,10,029000000,5,01,,0,0,06,0,12,,,,,
043788060,DAUGHTERS OF ZION INTERNATIONAL NFP,% BRITTON LASHAWN,CHICAGO 60637,AFGHANISTAN,,00000-0000,0000,03,3,1000,200411,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,X99,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,202109,4,4,01,0,09,105332,319394,319394,P33,
060706038,BERMUDA INSTITUTE OF OCEAN SCIENCES BIOS INC,,ST GEORGES ST GEORGES GE01,BERMUDA,,00000-0000,0000,03,3,8000,194710,1,16,161180000,1,01,202012,8,8,01,0,12,49596332,23007107,22007343,U50Z,
061291614,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,% FACILITY REPRESENTATIVE,1 JOHN BREWERS BAY,ST THOMAS,VI,00802-6003,3254,05,9,3000,199002,0,00,263000000,0,01,202112,0,0,02,0,12,0,0,0,,NATCA LOCAL STT
061497455,HODGMAN FAMILY FOUNDATION TR,% THOMAS F HODGMAN,SAVIESE VALAIS CH 1965,SWITZERLAND,,00000-0000,0000,03,3,1000,199712,1,04,602000000,2,01,202112,4,4,00,1,12,241940,301242,,T22Z,WILLIAM & THOMAS F HODGMAN JR TTEES
