EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010359130,ETERNITY BAPTIST CHURCH,,RR 3 BOX 289,MALVERY,AR,72104-9535,0000,03,3,0000,197903,1,10,001000000,5,01,,0,0,06,0,06,,,,,
010570543,EAST ARKANSAS ENTERPRISE COMMUNITY,,PO BOX 2212,FORREST CITY,AR,72336-2212,0000,03,3,1000,200303,1,15,000000000,1,01,202312,4,5,01,0,12,339981,858448,858448,S20,
010571689,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,% ROCKY LEE LAMBERT,BLDG 2100 FORT SMITH BLVD,FORT CHAFFEE,AR,72916-0000,0160,05,9,3000,195903,2,00,263000000,5,01,202403,0,0,02,0,03,0,0,0,Y99,S0024 WESTERN ARKANSAS STATE
010574268,PLEASANT VALLY MENNONITE SCHOOL,% CHRIS GEARIG,3655 HIGHWAY 360,BRADLEY,AR,71826-8889,1971,03,9,7000,196908,1,10,059150001,5,01,,0,0,06,0,01,,,,,
010579984,UTILITY ECONOMIC DEVELOPMENT ASSOCIATION,,PO BOX 3474,LITTLE ROCK,AR,72203-3474,0000,06,3,2000,200207,2,00,000000000,1,01,202312,4,4,01,0,12,170459,231084,231084,S41,
010580490,FRATERNAL ORDER OF POLICE,% CHARLES CARTY,PO BOX 2122,BENTON,AR,72018-2122,1199,08,9,1000,195210,1,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,,63 BENTON MUNICIPAL FOP
010596732,POLK COUNTY GENEALOGICAL SOCIETY,% JANET WALKER,448 POLK ROAD 41 S,MENA,AR,71953-7526,0000,03,3,2000,201510,1,16,000000000,5,01,202112,0,0,02,0,12,0,0,0,A05,
010608788,SOCIETY OF PROFESSIONAL JOURNALISTS,% DAVID CONRADS,280 N MCILROY AVE,FAYETTEVILLE,AR,72701-4035,0423,06,9,2000,194105,2,00,000000000,5,01,202307,0,0,02,0,07,0,0,0,,NORTHWEST ARKANSAS PROFESSIONAL CH
010620873,PENTECOSTAL CHURCH OF GOD,% MARLIN J RESINGER,HWY 8E,HUMPHREY,AR,72073-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010631060,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,% DEBBIE MCMAHON,PO BOX 2684,LITTLE ROCK,AR,72203-2684,5278,03,9,1000,200510,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,Q43,ARKANSAS
010634033,SELMA VOLUNTEER FIRE DEPT,% KENNY WATSON,323 HIGHWAY 293,TILLAR,AR,71670-9405,0000,03,3,1000,200207,1,15,000000000,1,01,202312,4,2,02,0,12,260814,21596,21596,M24,
010648135,PINNACLE SCHOLARSHIP FOUNDATION,% H THOMAS GIBBONS,3 S CLUBHOUSE DR,ROGERS,AR,72758-9563,0000,03,3,1000,200303,1,04,000000000,1,01,202312,1,1,00,1,12,240,1,,B82,
010648891,COMMUNITY RESOURCES TECHNICIANS INC,% DEBORAH K COOPER,800 SCOTT ST,LITTLE ROCK,AR,72201-4614,0000,03,3,1000,200207,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,P51,
010650805,KOAL TO DIAMOND FOUNDATION INC,% RICHARD DENNY,PO BOX 6014,PINE BLUFF,AR,71611-6014,0000,03,3,1200,200309,1,15,000000000,1,01,202312,3,2,02,0,12,77564,11910,11910,P20,
010662531,JOE HUBBARD MINISTRIES,% JOSEPH HUBBARD,PO BOX 8266,HOT SPRINGS,AR,71910-8266,0000,03,3,1200,200211,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A68,
010669851,FIRST ASSEMBLY OF GOD,,303 N MAIN ST,BLACK OAK,AR,72414-0000,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010672219,NEW REVELATION TEMPLE L M,% LEROY MCDONALD,1920 MUDLINE RD,PROCTOR,AR,72376-9439,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010685409,LONE STAR FAITHFULL GOSPEL CHURCH INC,% FRANK WHITESIDE,4528 HIGHWAY 7 S,HARRISON,AR,72601-5053,3095,03,9,7000,197709,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010695331,ARKANSAS BEVERAGE RETAILERS ASSOCIATION,% JOAN R ZUMWALT,PO BOX 220,RUSSELLVILLE,AR,72811-0220,0000,06,3,2000,200412,2,00,000000000,1,01,202312,3,3,01,0,12,59286,66055,66055,S41,
010709468,TRINITY GRACE CHURCH,,5845 S BELLVIEW RD,ROGERS,AR,72758-9023,8534,03,9,7000,197404,1,10,001000000,1,01,,0,0,06,0,06,,,,,
010738599,AMERICAN SCENT DOG ASSOCIATION INC,% DONNA WAUGH,13823 RIVERCREST DR,LITTLE ROCK,AR,72212-1520,0000,03,3,1200,200804,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,M23,
010747040,RIVER VALLEY COMMUNITY CHURCH,% ANDREW L THOMPSON,PO BOX 697,OZARK,AR,72949-0697,0000,03,3,7000,200309,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010773863,SUMMIT PENTECOSTAL CHURCH OF GOD,,HWY 202 E,SUMMIT,AR,72677-0000,1446,03,9,7000,195902,1,10,268120230,5,01,,0,0,06,0,12,,,,,
010790641,J AUSTIN WHITE CULTURAL CENTER INC,,PO BOX 316,EUDORA,AR,71640-0316,0000,03,3,2000,200308,1,15,000000000,1,01,202312,6,4,01,0,12,2601961,287324,287324,A20,
010824585,HIGHWAY 7 SPAY AND NEUTER,% REGINA WILKERSON & APRIL WILLIAMS,5155 HIGHWAY 7 S,HARRISON,AR,72601-6484,0000,03,3,1000,200508,1,15,000000000,1,01,202406,0,0,02,0,06,0,0,0,D20,
