EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010282855,B M CLARK FOUNDATION,,38 BOSTON RD APT 316,MIDDLETOWN,CT,06457-3564,0000,03,3,1000,197009,1,04,040000000,1,01,202012,3,1,00,1,12,85158,8972,,,
010366432,WESTERN CONNECTICUT CHAPTER NATIONAL RAILWAY HISTORICAL SOCIET,% KEVIN FEENEY TREASURER,77 WASHINGTON ST,NORWALK,CT,06854-3086,0000,03,3,2000,198003,1,16,119299000,1,01,202203,3,2,02,0,03,73109,13191,11184,,
010441043,COURI FOUNDATION INC,% JOHN A COURI PRESIDENT,164 RAMAPOO RD,RIDGEFIELD,CT,06877-3732,0000,03,3,1000,198907,1,03,000000000,1,01,202112,1,1,00,1,12,9514,1,,,
010462738,U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,% S & A INC,10 TECHNOLOGY DR,WALLINGFORD,CT,06492-1955,0000,03,3,2000,201006,1,11,000000000,2,01,202112,6,4,01,0,12,1116606,440224,400536,B30,LOCAL 716 TRAINING FUND
010483460,KAPPA DELTA PHI NATIONAL AFFILIATED SORORITY ALUMNAE ASSOCIATION INC,% SUE DYER TAYLOR,33 WOODLAND DR,NORWICH,CT,06360-7319,0000,07,3,1000,199407,2,00,036000000,1,01,202212,0,0,02,0,12,0,0,0,,
010490877,NATIONAL ATHLETIC TRAINERS ASSOCIATION INC,% CASSANDRA SANDY SNOW,PO BOX 693,STORRS MANFLD,CT,06268-0693,7225,06,9,2000,199510,2,00,205000000,5,01,202106,4,4,01,0,06,393511,354361,179542,,I DISTRICT
010502709,ATLANTIC STATES RURAL WATER & WASTEWATER ASSOCIATION,% STEVEN C LEVY,45 SALEM TURNPIKE 1007,NORWICH,CT,06360-6533,0000,06,3,1000,199607,2,00,353351123,1,01,202106,4,4,01,0,06,168099,473643,473643,,
010517029,TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O,% THE NORTHERN TRUST COMPANY,180 MARSH HILL RD,ORANGE,CT,06477-3629,0000,09,3,1000,199812,2,00,000000000,2,01,202112,8,7,01,0,12,12937744,9186517,1860359,Y99,CNTRL ME PWR CO UNION RETE MED VEBA
010517035,TRUST AGREEMENT FOR THE POST- RETIREMENT MEDICAL PLAN FOR NON-,% THE NORTHERN TRUST COMPANY,180 MARSH HILL RD,ORANGE,CT,06477-3629,0000,09,3,1000,199812,2,00,265000000,2,01,202112,4,7,01,0,12,164430,7596098,1403057,,CTRL ME PWR CO NON-UNI RET MED VEBA
010535353,EASTERN FRONTIER EDUCATIONAL,% STEPHEN DUNN,CO R FAVER 481 OLD LONG RIDGE ROA,STAMFORD,CT,06903-0000,0000,03,3,1200,200210,1,03,000000000,1,01,202205,2,3,00,1,05,24746,26336,,A90,
010538112,WATOTO CHARITABLE TR,% TREASURER PETER HARVEY,1364 ROCK RIMMON RD,STAMFORD,CT,06903-1104,0000,03,3,1000,200103,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,T30,
010563865,WEST HAVEN CHURCH OF CHRIST INC,% WILLIAM BOWLING SR,PO BOX 4416,HAMDEN,CT,06514-0416,0000,03,3,7000,200409,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010566395,BUILDERS BEYOND BORDERS,,66 FORT POINT STREET,NORWALK,CT,06855-1217,0000,03,3,1000,200302,1,16,000000000,1,01,202206,5,5,01,0,06,651611,631508,465018,P30,
010575025,TEMPLE OF PRAISE CHURCH OF CHRIST OF THE APOSTOLIC FAITH INCORPORATE,% DANIEL WADE,21 GRACE AVE,WATERBURY,CT,06710-1019,0000,03,3,2700,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010580184,COMMUNITY DANCE ENSEMBLE INC,% MARGARET E DENNIS,8 CHAPMAN AVE,QUAKER HILL,CT,06375-1309,0000,03,3,1000,200205,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,A60,
010589299,CONNECTICUT SPECTRUM MANAGEMENT ASSOCIATION INC,% PAUL GIBSON,31 SANTINA DR,MANCHESTER,CT,06040-7001,0000,03,3,1000,200209,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,A34,CSMA
010596826,LIFE EDU ORG INC,% ALBERT KAUSCH,139 BRIAR PATCH RD,STONINGTON,CT,06378-2403,0000,03,3,1238,200308,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,U50,KAUSCH ALBERT P PHD PRESIDENT
010597012,CONNECTICUT RIVER LACROSSE CLUB INC,% P ORLANDO,CO PHIL ORLANDO 61 ROWLAND RD,OLD LYME,CT,06371-0000,0000,03,3,1000,200207,1,16,000000000,1,01,202112,3,3,02,0,12,44288,46123,46123,O50,
010598781,TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC,% THEODORE THOMAS,11 MEETING GROVE LN,NORWALK,CT,06850-2205,0000,03,3,2100,200304,1,15,000000000,1,01,202112,1,1,02,0,12,2889,8061,8061,A62,
010607204,PRIMERA IGLESIA BAUTISTA INC,% JUSTO J CARRERA,PO BOX 341249,HARTFORD,CT,06134-1249,0000,03,3,7000,200304,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
