EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010123106,MORNING STAR BAPTIST CHURCH,,3204 BROTHERS PL SE,WASHINGTON,DC,20032-1501,1961,03,9,7000,196811,1,10,029000000,5,01,,0,0,06,0,12,,,,,
010262891,SMALL POINT SUMMER SCHOOL INC,% TAX BRACKET II,2810 BRANDYWINE ST NW,WASHINGTON,DC,20008-2136,0000,03,3,2000,196001,1,11,030000000,1,01,202112,5,4,01,0,12,781192,165764,165764,,
010466768,AMERICAN UNIVERSITY IN BULGARIA,,910 17TH ST NW STE 1100,WASHINGTON,DC,20006-2619,0000,03,3,2000,199209,1,11,030000000,1,01,202206,8,6,01,0,06,31431000,2296000,2296000,Q300,
010490759,P A T T,% RANDI BAUN,700 PENNSYLVANIA AVE SE SUITE 200,WASHINGTON,DC,20003-0000,0000,03,3,1000,199510,1,15,123000000,1,01,202212,0,0,02,0,12,0,0,0,M014,PARENTS AGAINST TIRED TRUCKERS
010547837,PHI BETA KAPPA SOCIETY,% MAINE ASSOCIATION - PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,202207,0,0,02,0,07,0,0,0,,MAINE ASSOCIATION
010551639,REVELATION KNOWLEDGE CHRISTIAN CHURCH,% PASTOR YVETTE W ROSS,1108 5TH ST NW,WASHINGTON,DC,20001-3606,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010554700,PEACE CORPS FOUNDATION,% BONNIE GOTTLIEB,3601 CONNECTICUT AVENUE NW 504,WASHINGTON,DC,20008-0000,0000,03,3,1200,200202,1,15,000000000,1,01,202212,6,4,01,0,12,1176539,280366,280366,A80,
010564259,FREEMUSLIM ASSOCIATION INC,% MOHAMMAD T AKHOND,1627 K STREET NW,WASHINGTON,DC,20006-1702,0000,03,3,1000,200211,1,15,000000000,1,01,202212,3,4,01,0,12,85177,246765,246765,X40,
010570343,NORTH LINCOLN PARK NEIGHBORHOOD ASSOCIATION,% ELIZABETH NELSON,1330 N CAROLINA AVE NE,WASHINGTON,DC,20002-6424,0000,03,3,1000,200207,1,16,000000000,1,01,202302,0,0,02,0,02,0,0,0,C50,
010572370,PHI BETA KAPPA SOCIETY,% BOSTON ASSOCIATION - PBK SOCIETY,1606 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,20009-2512,1130,03,9,2000,195106,1,16,059000000,5,01,202207,0,0,02,0,07,0,0,0,,BOSTON ASSOCIATION
010579796,AMERICA ABROAD MEDIA,,1701 PENNSYLVANIA AVE NW STE 300,WASHINGTON,DC,20006-5813,0000,03,3,1000,200206,1,15,000000000,1,01,202212,3,5,01,0,12,50785,893013,893013,A34,
010583568,NURMI FAMILY FOUNDATION,% THOMAS NURMI,3025 UNIVERSITY TER NW,WASHINGTON,DC,20016-3462,0000,03,3,1000,200203,1,04,000000000,1,01,202212,6,5,00,1,12,1346762,683299,,T22,NURMI THOMAS D PRES
