EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010371179,GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST,% NORMAN HANSON & DETROY LLC,1100 NORTH MARKET STREET,WILMINGTON,DE,19890-0001,0000,03,3,1000,000000,1,04,000000000,5,01,202208,4,3,00,1,08,250333,59482,,,KATHRYN M LONGLEY-LEAHY
010548657,KUEHNER BROTHERS FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200303,1,04,000000000,1,01,202212,6,2,00,1,12,1923187,15917,,T20,
010571260,CATALYSIS CLUB OF PHILADELPHIA,% STEPHEN HARRIS,434 C0LDSPRING RUN,NEWARK,DE,19711-0000,0000,03,3,2100,200412,1,16,000000000,1,01,202208,0,0,02,0,08,0,0,0,,PHILADELPHIA CLUB
010592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,% CYNTHIA M JENKINS,52 READS WAY,NEW CASTLE,DE,19720-1649,0000,03,3,2000,200401,1,15,000000000,1,01,202106,6,6,01,0,06,1958735,1736814,1722564,B90,C E R T S INC
010620485,STAR KIDS INC,% FRANCIS J NORRIS,124 HAINES ST,NEWARK,DE,19711-5329,0000,03,3,1000,200211,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,T70,
010652445,RODNEY STREET TENNIS ASSOCIATION,,101 GARDEN OF EDEN RD,WILMINGTON,DE,19803-1511,0000,03,3,2000,200401,1,16,000000000,1,01,202112,5,5,01,0,12,590155,700998,664423,N66,
010667483,COLUMBIETTES INCORPORATED,% LINDA DARLING,206 PITCH KETTLE CT,MAGNOLIA,DE,19962-1592,3060,10,9,1000,197709,2,00,260000000,5,01,202208,0,0,02,0,08,0,0,0,,4182 DOVER
010668771,SERVIAM MEDIA INC,% SHARON BAKER,PO BOX 7769,WILMINGTON,DE,19803-0769,0000,03,3,1200,200208,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,A31,
010702336,WOMEN IN TRANSITION INC,% CARLA D ROBINSON,193 MALCOLM FOREST RD,NEW CASTLE,DE,19720-8740,0000,03,3,1200,200406,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,I31,
010708223,PTA DELAWARE CONGRESS,% CHERYL DILL,750 E DELAWARE AVE,NEWARK,DE,19711-7185,2155,03,9,2000,197103,0,16,059035000,5,01,202206,0,0,02,0,06,0,0,0,,NEWARK HIGH SCHOOL PTSA
010760818,DELAWARE STORM TRAVEL TEAMS INC,% TREASURER,36617 ROXANA RD,SELBYVILLE,DE,19975-3352,0000,03,3,2000,200306,1,15,000000000,1,01,202112,2,3,01,0,12,11543,57525,56302,N63,
010770318,CORRECTIONAL OFFICERS ASSOCIATION OF DELAWARE,,1243 COLLEGE PARK DR,DOVER,DE,19904-8713,0000,05,3,3000,200512,2,00,000000000,1,01,202205,6,5,01,0,05,1041412,503799,486680,J40,
010791880,ALVIN MARLEY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200403,1,04,000000000,1,01,202212,5,4,00,1,12,793683,162007,,T20,
010791882,KLUNGNESS FAMILY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200505,1,04,000000000,1,01,202212,7,7,00,1,12,5433964,9018895,,T20,
010841368,WILMINGTON TIGERS BASKETBALL CLUB OF DELAWARE INC,% MARK GRUBB,209 FALLON AVE,WILMINGTON,DE,19804-1918,0000,03,3,1200,200512,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,N62,
010852125,ORGANIZATION OF PJM STATES INC,% GREGORY CARMEAN EXECUTIVE DIRECTO,700 BARKSDALE RD STE 1,NEWARK,DE,19711-3260,0000,04,3,3000,200612,2,00,000000000,1,01,202212,4,5,01,0,12,110800,674570,674570,U03,
010857925,SAUGUS PLAZA FUNDING COMPANY,% DANIEL SANG,500 STANTON CHRISTIANA RD OPS 3 2-P,NEWARK,DE,19713-2105,0000,02,3,1000,200706,2,00,000000000,1,01,201912,8,6,01,0,12,20950002,1269292,1269292,Z99,
010864622,MARYLAND FOOTBALL COACHES ASSOCIATION,% JOE RUSSO,31960 DOGWOOD WAY,SELBYVILLE,DE,19975-3794,0000,03,3,2000,201105,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,N65,
010881860,MAINSTREAM PROJECTS INC,% RHONDA SULLIVAN,PO BOX 9163,WILMINGTON,DE,19809-0163,0000,03,3,1000,201701,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,S99,
010890134,MY SISTERS PLACE INC,% ALEDA M YOUNG,50 CURRANT DR,NEWARK,DE,19702-2852,0000,03,3,1000,200712,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,L20,
010914228,CONTRACTORS FOR A CAUSE FOUNDATION LLC,,PO BOX 1282,OCEAN VIEW,DE,19970-1282,0000,03,3,1000,200901,1,15,000000000,1,01,202112,4,4,01,0,12,217429,105536,71468,P80,
010933809,ARISING MINISTRIES,,503 SCHOONER CT,NEWARK,DE,19702-4829,0000,03,3,1700,201204,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,X99,
010935758,CALVARY CHAPEL OF THE LIVING GOD AND THE LORD JESUS CHRIST CHURCH,% MARGARET PAYNE,22959 SURRY LN,MILLSBORO,DE,19966-7542,0000,03,3,1000,201407,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,X99,PATRIARCH BAPTIST ASSEMBLY
010941986,CHURCH OF REDEMPTION HOLY SYNDICATE,,5 HAWORTH CT,BEAR,DE,19701-2901,0000,03,3,1700,202304,1,10,000000000,1,01,,0,0,06,0,07,,,,X99,
010945569,KENT COUNTY AMATEUR RADIO CLUB,% KENT COUNTY EMERGENCY OP CENTER,911 PUBLIC SAFETY BLVD,DOVER,DE,19901-4524,0000,03,3,1280,202207,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,B99,
010950485,SPEAK FOR THOSE WHO CANNOT PROGRAMS INC,% LYN-DIANNE BUDD,2010 MONROE PL,WILMINGTON,DE,19802-3924,0000,03,3,1000,201209,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,P40,SPEAK
016011388,BOY SCOUTS OF AMERICA,% KEY TRUST COMPANY OF MAINE TTEE,1100 NORTH MARKET STREET,WILMINGTON,DE,19890-0001,1761,03,9,1000,196511,1,15,059328908,5,01,202212,6,4,01,0,12,1334449,371577,65562,,218 PINE TREE COUNCIL BSA TR DTD
016254492,JOHN P AND ANN MARIE MARTIN CHARITABLE TR,,110 NEPTUNE DR,NEWARK,DE,19711-3011,0000,03,3,1000,200708,1,04,000000000,2,01,202112,6,4,00,1,12,1637147,335784,,T22,
020537737,NEW CALVARY BAPTIST CHURCH,% EDWARD BENN SR,610 S HEALD ST,WILMINGTON,DE,19801-5636,0000,03,3,7000,200505,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020552325,PRIORITY COMMUNICATIONS MINISTRIES INC,% REV STEVE HARE,2207 CONCORD PIKE PMB 217,WILMINGTON,DE,19803-2908,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020552355,PRIORITY COMMUNICATIONS MINISTRIES INC,% STEVE HARE,179 STANTON CHRISTIANA RD,NEWARK,DE,19702-1619,1620,03,9,7000,196402,1,10,000000000,5,01,,0,0,06,0,12,,,,,
020557405,CLARENCE ST CHURCH OF GOD,% MARY E WALKER,PO BOX 817,SEAFORD,DE,19973-0817,2358,03,9,7000,197210,1,10,000000000,5,01,,0,0,06,0,08,,,,,
020568983,DELAWARE HEADSTART ASSOCIATION INC,% TELAMON CORP,100 W 10TH STREET,WILMINGTON,DE,19801-6603,0000,03,3,2000,200204,1,16,000000000,1,01,202209,4,2,02,0,09,128914,22496,22496,B80,
020656117,EDWARD E AND MARIE L MATTHEWS FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200301,1,04,000000000,1,01,202012,8,7,00,1,12,11187752,7620007,,,
020670035,AMERICAN ALLIANCE OF PARALEGALS INC,% PATRICIA S CARR,4023 KENNETT PIKE,WILMINGTON,DE,19807-2018,0000,06,3,2000,201206,2,00,000000000,1,01,202112,0,0,02,0,12,0,0,0,S41,
020678004,J-BROOK PRODUCTIONS INC,% JENNIFER SEABROOK,14 GREENSPIRE LN,SMYRNA,DE,19977-3974,0000,03,3,1000,201407,1,16,000000000,1,01,202210,0,0,02,0,10,0,0,0,X20,
020680511,EMPOWERING WOMEN IN NEED OF GUIDANCE CORPORATION,% TOMACENA MCCALOP,PO BOX 236,BEAR,DE,19701-0236,0000,03,3,1000,200501,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,P20,
020691040,COLUMBIETTES INCORPORATED,% LESA WRIGHT,17280 MERLIN LANEE,LEWES,DE,19958-0000,3060,10,9,1000,197709,2,00,260000000,5,01,202212,0,0,02,0,12,0,0,0,,DELAWARE STATE COUNCIL COLUMBIETTES
020694092,J J SEGAL FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200306,1,04,000000000,1,01,202212,5,3,00,1,12,680787,83375,,T22,JUDY O SEGAL DIR
020709424,OBRZUT-LING FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200507,1,04,000000000,1,01,202212,6,4,00,1,12,2286743,156787,,T22,
020709426,FOSTER FAMILY PRIVATE FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200502,1,04,000000000,1,01,202212,6,4,00,1,12,1895276,149327,,T20,
020709431,THE SAM AND DEIDRE PATTERSON FOUNDATION,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200411,1,04,000000000,1,01,202212,4,4,00,1,12,344093,141073,,T22,
020709433,VINCENT DOWLING FAMILY FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0000,03,3,1000,200411,1,04,000000000,1,01,202112,8,6,00,1,12,25094187,3822736,,T22,
020748378,IKEBANA IWAYA FUND,% JOHN C SOLENBERGER,5 WOOD RD,WILMINGTON,DE,19806-2021,0000,03,3,1000,200606,1,15,000000000,1,01,202212,4,3,01,0,12,261842,62641,62641,S03,
