EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548379,LIVING FOR CHRIST MINISTRIES,% PEGGY WEBSTER,PO BOX 29112,HONOLULU,HI,96820-1512,0000,03,3,7000,200302,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010575126,FRIENDS OF NELHA,,73-4460 QUEEN KAAHUMANU HWY STE 101,KAILUA KONA,HI,96740-2637,0000,03,3,1000,200309,1,16,000000000,1,01,202112,3,4,01,0,12,41538,101972,101972,C30,
010606686,HAWAII QUARTER HORSE ASSOCIATION,% LINDA HUNT,68-1752 PUWALU ST,WAIKOLOA,HI,96738-5517,0000,05,3,1000,200303,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,K26,
010629526,BEN AND MIRIAM LAU FOUNDATION,% RICHARD C WO,1314 S KING ST STE 524,HONOLULU,HI,96814-1940,0000,03,3,1000,200210,1,04,000000000,1,01,202112,6,4,00,1,12,2813260,406016,,T20,
010637829,HAWAII TRAVEL & TOURISM RESEARCH ASSOCIATION,% C/O CHRIS KAM,2270 KALAKAUA AVENUE,HONOLULU,HI,96815-2519,0000,06,3,2000,200805,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,S41,HTTRA
010637863,MYRA W & JEAN KENT ANGUS FOUNDATION,% PACIFIC CENTURY TRUST,PO BOX 3170 DEPT 715,HONOLULU,HI,96802-3170,0000,03,3,1000,200206,1,04,000000000,2,01,202203,6,4,00,1,03,3000738,321431,,T20,
010642459,KEALA O KALANI,% ALLAN PREVO,98-778 NAALII ST,AIEA,HI,96701-2743,0000,03,3,2000,200503,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,P50,
010682872,PDMI-CARE INC,% TEHANI,84-1064 LAHAINA ST APT 4,WAIANAE,HI,96792-2267,0000,03,3,1000,200210,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,P82,
010700725,AHA KUKUI O MOLOKAI,% ROBERT J M MORRIS JR,PO BOX 391,HOOLEHUA,HI,96729-0391,0000,03,3,1000,200402,1,15,000000000,1,01,202112,3,0,02,0,12,90363,0,0,A20,
010703365,HAWAII VENTURE CAPITAL ASSOCIATION,% MELIALANI JAMES,PO BOX 4677,HONOLULU,HI,96812-4677,0000,06,3,2000,200305,2,00,000000000,1,01,202204,3,3,02,0,04,63683,41791,41791,S30,
010717296,FREEDOM TO CHOOSE FELLOWSHIP,% MICHAEL S FLYNN,PO BOX 1213,KURTISTOWN,HI,96760-1213,0000,03,3,1000,200210,1,15,000000000,1,01,201912,1,0,02,0,12,126,0,0,X20,
010757287,UFCW-HAWAII FOOD EMPLOYERS HEALTH AND WELFARE TR FUND,% HAWAII BENEFIT ADMIN INC,200 N VINEYARD BLVD STE 100,HONOLULU,HI,96817-3938,0000,09,3,1000,200511,2,00,000000000,1,01,202112,8,8,01,0,12,15360844,24435812,20561706,Y43,LOO PAT ET AL TTEE
010799223,STARFIRE COMPANION-ANIMAL SANCTUARY,% TORUN ALMER,84-5142 KEALA O KEAWE RD,CAPTAIN COOK,HI,96704-8418,0000,03,3,4000,200408,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,D32,
010876003,MARINE CORPS LEAGUE,% LORA SCOTT,68-3575 W MAKUAHINE ST,WAIKOLOA,HI,96738-5330,0955,04,9,3000,194607,1,00,036279265,5,01,202206,0,0,02,0,06,0,0,0,,1255 CAMP TARAWA DETACHMENT MCL
010910349,MALAMA HAWAII,% MARK HUFF,1616 PAPAU PL,KAPAA,HI,96746-0000,0000,03,3,1200,200903,1,15,000000000,1,01,,0,0,00,0,12,,,,A34,
010915170,VOICE FOR LEARNING,% CT CORPORATION,4348 WAIALAE AVENUE 322,HONOLULU,HI,96816-5767,0000,04,3,3000,201003,2,00,000000000,1,01,202112,0,0,02,0,12,0,0,0,B90,
010919143,REECE TOYAMA FOUNDATION,% DEREK TOYAMA,PO BOX 17888,HONOLULU,HI,96817-0888,0000,03,3,1000,200905,1,15,000000000,1,01,202012,4,0,01,0,12,154852,0,0,N20,
010927183,MIYAWAKI FOUNDATION,% EDISON H MIYAWAKI,2900 PALI HIGHWAY,HONOLULU,HI,96817-1479,0000,03,3,1200,200912,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,B12,
010930714,ACTIVED,% FAYE SAIKI,1149 S KING ST,HONOLULU,HI,96814-2229,0000,03,3,1000,201201,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,P30,
010943863,HAWAII WAIVER PROVIDERS ASSOCIATION,% STONE WOLFSONG,2610 KILIHAU ST,HONOLULU,HI,96819-2020,0000,06,3,1000,201103,2,00,000000000,1,01,202206,0,0,02,0,06,0,0,0,S40,
010945650,GARDEN ISLAND MOTORCYCLE CLUB INC,,6434 PULANA ST,KAPAA,HI,96746-9454,0000,03,3,1000,201511,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,N50,
010947974,KANEOHE OFFICERS SPOUSES CLUB,% KAE A MATORY PRES,PO BOX 349000,KAILUA,HI,96734-8500,0000,04,3,1000,201405,2,00,000000000,2,01,202112,0,0,02,0,12,0,0,0,S41,KOSC
010951573,VFW AUXILIARY DEPT OF HAWAII,% PEGGY HAAKE,69 LEIPAPA PL,KAHULUI,HI,96732-2949,5729,19,9,1000,201008,2,00,000000000,5,01,202206,0,0,02,0,06,0,0,0,W30,1540 HONOLULU VFW AUXILIARY
010954321,KOKOLULU FARM AND CANCER RETREATS INC,% LEWIS M WHITNEY,PO BOX 340,HAWI,HI,96719-0340,0000,03,3,1000,201101,1,15,000000000,1,01,202112,3,3,02,0,12,52170,26516,26516,G30,
010958081,HIKAALANI,,1015 AOLOA PL APT 241,KAILUA,HI,96734-5211,0000,03,3,2000,201407,1,15,000000000,1,01,202112,3,3,01,0,12,41424,86230,85353,B99,
010964641,GREEN THUMB GARDEN CLUB,% MELVIN WRIGHT,91-1228 KAMOAWA ST,EWA BEACH,HI,96706-4507,0000,07,3,1000,201509,2,00,000000000,5,01,202012,0,0,02,0,12,0,0,0,C42,
010964759,HOOKIPAIPAI LLC,% OFFICE OF HAWAIIAN AFFAIRS SOLE M,59-864 KAMEHAMEHA HIGHWAY,HALEIWA,HI,96712-8411,0000,03,3,1000,201104,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,S41,
010965977,HONPA HONGWANJI MISSION OF HAWAII,% ARTHUR NAKAGAWA,398 KILAUEA AVE,HILO,HI,96720-3038,2076,03,9,7000,194801,1,10,001030000,5,01,,0,0,06,0,11,,,,,HAWAII DISTRICT MINISTERS ASSOCIATI
016184578,SPENCER JOHNSON FAMILY FOUNDATION,% ACCUITY LLP,715 S KING ST STE 400,HONOLULU,HI,96813-3040,0000,03,3,1000,200203,1,04,000000000,2,01,202112,4,4,00,1,12,463744,266368,,T21,
020551043,YOUNG ENTREPRENEURS ORGANIZATION,,PO BOX 235752,HONOLULU,HI,96823-3512,3705,03,9,1000,199204,0,16,000000000,1,01,202206,4,3,01,0,06,103460,86855,86855,,ENTREPRENEURS ORG OF HAWAII
020553251,NORTH KOHALA COMMUNITY RESOURCE CENTER,% NONE,PO BOX 519,HAWI,HI,96719-0519,0000,03,3,1000,200203,1,15,000000000,1,01,202112,4,5,01,0,12,388623,674876,665280,S20,
020556883,MA KA HANA KA IKE BUILDING PROGRAM,% RICK RUTIZ,PO BOX 968,HANA,HI,96713-0968,0000,03,3,1000,200207,1,15,000000000,1,01,202106,4,6,01,0,06,361795,1232750,1232750,O99,
020675730,HALE MAHAOLU EHIKU II INC,% DIANE KENNEDY,200 HINA AVENUE,KAHULUI,HI,96732-1821,0000,03,3,1000,200505,1,04,000000000,1,01,202112,6,1,00,1,12,3702226,1,,L22,
020675963,HAWAII COMMUNITY CAREGIVER NETWORK,% PATRICIA SCHUMACHER CPA,77-123 LAALOA AVE,KAILUA KONA,HI,96740-2435,0000,03,3,1000,200405,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,S20,
020718525,KOOK MIN HUR FOUNDATION,% DUKE CHUNG JR,1506 ONIPAA ST,HONOLULU,HI,96819-1735,0000,03,3,1000,200405,1,04,000000000,1,01,202112,5,4,00,1,12,500740,223192,,T22,
020741933,OVERCOMING FAITH CENTER,,200 KANOELEHUA AVE BOX 385,HILO,HI,96720-4648,0000,03,3,7000,200903,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020782646,KNIGHTS OF COLUMBUS,% RICHARD GALINO,3577 PINAO ST UNIT 19,HONOLULU,HI,96822-1100,0188,08,9,1000,194010,1,00,036029265,5,01,202212,0,0,02,0,12,0,0,0,,14105 ST ANTHONY COUNCIL
020789146,SUFIS HAWAII,% ANDREW BINSTOCK,PO BOX 1268,HAIKU,HI,96708-1268,5335,03,9,7000,197108,1,10,000000000,5,01,,0,0,06,0,12,,,,X99,
020791166,ALOHA CENTER FOR SPIRITUAL LIVING,,PO BOX 3188,KAILUA KONA,HI,96745-3188,0000,03,3,7000,200801,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020803556,CENTRAL TENRIKYO CHURCH OF HAWAII,% LEE ANN T INOUYE,3174 LINCOLN AVE,HONOLULU,HI,96816-1458,0000,03,3,7000,201003,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,
020811008,HAWAII UNITED INDIVIDUALS,% ELIZABETH BUSH,64-5234 HOHOLA DR,KAMUELA,HI,96743-8110,0000,03,3,1200,200804,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,F21,
030385067,OIKONOS-ECOSYSTEM KNOWLEDGE,% MICHELLE HESTER,PO BOX 1918,KAILUA,HI,96734-8918,0000,03,3,1000,200206,1,15,000000000,1,01,202112,5,5,01,0,12,704582,884083,877396,U50,
030397547,HAWAII COALITION AGAINST SEXUAL ASSAULT,% LEGAL AID SOCIETY OF HAWAII,PO BOX 10596,HONOLULU,HI,96816-0596,0000,03,3,2100,200207,1,15,000000000,1,01,202112,1,4,01,0,12,972,130368,130368,P80,
030405437,MONTESSORI EDUCATION CENTER OF HAWAII INC,% BONNIE BECKETT,PO BOX 967,KAMUELA,HI,96743-0967,0000,03,3,2000,200310,1,11,000000000,1,01,202105,4,5,01,0,05,435734,610424,610424,,KOHALA STARS PRESCHOOL
030496117,MAUI MOTOR SPORTS ENTERTAINMENT GROUP INC,% DOUG BELL,PO BOX 1440,KIHEI,HI,96753-1440,0000,04,3,1000,200403,2,00,000000000,1,01,202112,0,0,02,0,12,0,0,0,N70,
