EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010560970,TUNNEY FOUNDATION,% DORIS F TUNNEY MD DIRECTOR,PO BOX 909,HAILEY,ID,83333-0901,0000,03,3,1000,200203,1,04,000000000,1,01,202312,5,2,00,1,12,828761,22394,,T22,
010577656,IDAHO VIRTUAL HIGH SCHOOL INC,% LARRY SLADE,795 S HASKETT ST,MOUNTAIN HOME,ID,83647-3378,0000,03,3,2000,202309,1,11,000000000,1,01,202406,8,7,01,0,06,16503334,7482862,7482862,B29,
010596311,HOMEDALE BIBLE MISSIONARY CHURCH,,201 S 7TH ST W,HOMEDALE,ID,83628-3311,1449,03,9,7000,195709,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010691782,MOSES SONG MINISTRIES,% DERROL SAWYER,PO BOX 1862,BONNERS FERRY,ID,83805-1862,0000,03,3,1700,200209,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,X20,SAWYER CYNTHIA SECRETARY
010720150,IDAHO VIRTUAL ACADEMY INC,,1965 S EAGLE RD STE 190,MERIDIAN,ID,83642-9246,0000,03,3,2000,200304,1,15,000000000,1,01,202406,8,8,01,0,06,10342167,19318748,19318748,B40,
010768390,WILDERNESS RANCH FIREFIGHTERS ASSOCIATION INC,% RICHARD K MURRAY,421 RIMVIEW DR,BOISE,ID,83716-3141,0000,03,3,1000,200403,1,15,000000000,1,01,202309,0,0,02,0,09,0,0,0,M24,
010791915,NAMPA CHEER STARS,% JACKIE HAMMRICH,3784,NAMPA,ID,83653-0000,0000,03,3,1000,202407,1,16,000000000,5,01,,0,0,02,0,06,,,,A12,
010845451,NATIONAL PIONEER HALL OF FAME INC,% DALE E WHIPPLE,PO BOX 153,DECLO,ID,83323-0153,0000,03,3,1200,200604,1,03,000000000,1,01,202312,1,1,00,1,12,2684,328,,A80,
010874048,INTERNATIONAL RAFTING FEDERATION,% MARK I JOFFE,7661 W RIVERSIDE DR 104,BOISE,ID,83714-6186,0000,04,3,1000,200804,2,00,000000000,1,01,202312,3,3,01,0,12,57823,64552,64552,S41,IRF
010886085,OLD FAITHFUL CHRISTIAN RANCH INC,% DAVID RUTHARDT,145 6TH ST,IDAHO FALLS,ID,83401-4705,0000,03,3,1000,200811,1,15,000000000,1,01,202412,5,4,01,0,12,653291,324535,324535,X192,
010917854,LIBRI SYSTEM INC,% JULIE WOODFORD,100 1ST AVE E,JEROME,ID,83338-2302,0000,03,3,1000,201002,1,15,000000000,1,01,202409,0,0,02,0,09,0,0,0,P20,
010944516,THE@FOUNDATION FOR COMMUNITY DEVELOPMENT AND EMPOWERMENT,% ERIC YOUNGER,PO BOX 6560,KETCHUM,ID,83340-6560,0000,03,3,1000,201103,1,15,000000000,1,01,202312,3,5,01,0,12,73853,672933,672933,P20,FCDE
010953770,PEACE LUTHERAN CHURCH,,8134 N MEYER RD,POST FALLS,ID,83854-4681,3972,03,9,7000,200102,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010955506,IDAHO ASSOCIATION OF EXTENSION 4H AGENTS,% JIM WILSON,875 PERIMETER DR,MOSCOW,ID,83844-9803,0000,06,3,2000,202201,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,S40,IAE4H-A
010975346,WOOD RIVER BICYCLE COALITION,% BRETT STEVENSON,PO BOX 756,HAILEY,ID,83333-0751,6236,03,9,1000,201610,1,15,000000000,1,01,202412,5,5,01,0,12,654899,618091,612030,N32,
020543043,RACING UNLIMITED INC,% TERRY G HOEBELHEINRICH,PO BOX 140402,GARDEN CITY,ID,83714-0402,0000,03,3,1000,200309,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,H12,
020586583,TWIN FALLS MUNICIPAL BAND,% SANDY HACKING,1076 PARKWAY DR,TWIN FALLS,ID,83301-3232,0000,03,3,1000,201406,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A20,
020598146,NATIONAL ASSOCIATION RETIRED & VETERAN RAILWAY EMPLOYEES INC,% JUNE ROBERTSON,11792 HENSEN DR,NAMPA,ID,83651-8201,0875,04,9,2000,194508,2,00,480319000,5,01,202412,0,0,02,0,12,0,0,0,,082-NAMPA ID
020619593,SHEKINAH LUTHERAN COMMUNITY INC,% BONNIE GILCHRIST,3520 COUNTRY CLUB DR,LEWISTON,ID,83501-9676,0000,03,3,1000,200208,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020642326,IDAHO SELECT PLAYERS FUND INC,% VINCE HORDEMANN,504 E 46TH STREET,GARDEN CITY,ID,83714-4720,0000,03,3,1200,200303,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,N62,
020645164,HOPE PREGNANCY CENTER OF CENTRAL IDAHO INC,,113 W NORTH ST,GRANGEVILLE,ID,83530-1764,0000,03,3,2000,200210,1,15,000000000,1,01,202412,3,3,01,0,12,74214,57226,57226,E40,
020662560,DOVE MEADOWS HOMEOWNERS ASSOCIATION,% KATHLEEN OVERSTREET,22 N BORAH WAY,NAMPA,ID,83651-2296,0000,04,3,3000,200304,2,00,000000000,2,01,202412,1,1,02,0,12,1201,1582,1582,L50,
020669933,CANARY COUNCIL,% CAROL BARICKMAN,PO BOX 2371,SANDPOINT,ID,83864-0912,0000,03,3,2000,201305,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P50,
020681097,BOISE COMMUNITY RADIO PROJECT,% NICHOLE ALBERTSON,1020 W MAIN ST STE 50,BOISE,ID,83702-5784,0000,03,3,1000,200307,1,15,000000000,1,01,202412,3,4,01,0,12,78192,390050,383024,A34,
020747653,AMERICAN LEGION,% JAMES L JENSEN JR,PO BOX 842,BURLEY,ID,83318-0842,0925,19,9,1000,194603,1,00,907908000,1,01,202412,0,0,02,0,12,0,0,0,,17 LYLE R MORTON INC
020773076,UNITED STATES BOWLING CONGRESS INC,% SHAWN LAEGER,923 MARGARET ST,POCATELLO,ID,83202-1648,4348,03,9,1000,200409,1,16,000000000,1,01,202407,0,0,02,0,07,0,0,0,N70,84426 POCATELLO USBC WBA
020799713,CHRISTS FELLOWSHIP,% JOSH A DELOACH,600 N TEN MILE RD,MERIDIAN,ID,83642-5402,2007,03,9,7000,196905,1,10,001000000,5,01,,0,0,06,0,12,,,,,
020807054,MINISTRY OF RECONCILING PEACE,% DEBRA K GAMACHE,1734 BRENTWOOD DR,IDAHO FALLS,ID,83402-3144,0000,03,3,1000,200904,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,X90,MORP
020812999,EASTERN IDAHO ENVIRONMENTAL EDUCATION ASSOCIATION INC,,PO BOX 2572,IDAHO FALLS,ID,83403-2572,0000,03,3,1200,200711,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,B90,
026040429,BJB CHARITABLE ACCOUNT,% JANE CADDELL PADDISON P C,526 E LAKE BRIAR LN,EAGLE,ID,83616-6304,0000,03,3,1000,200412,1,04,000000000,2,01,202412,5,3,00,1,12,602287,71799,,T22,
030216668,NORTH AMERICAN LILY SOCIETY INC,,PO BOX W,BONNERS FERRY,ID,83805-1287,0000,03,3,2000,196601,1,16,059000000,1,01,202312,5,3,01,0,12,676156,84198,84198,C420,
030395312,JULIE ANN WRIGLEY FOUNDATION INC,% BDO USA LLP,PO BOX 135,KETCHUM,ID,83340-0130,0000,03,3,1000,200205,1,04,000000000,1,01,202312,3,4,00,1,12,50092,128186,,T22,
030416595,NAMPA POLICE VOLUNTEER,% YVETTE FICKEL,820 2ND ST S,NAMPA,ID,83651-3801,0000,03,3,1200,200506,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,I20,
030420887,IDAHO STATE FIRE COMMISSIONERS ASSOCIATION,,10135 ROUND VALLEY RD,CASCADE,ID,83611-5409,0000,06,3,2000,201103,2,00,000000000,1,01,202312,3,4,01,0,12,88130,110500,110500,S41,
030428352,SHEKINAH FAMILY MINISTRIES,% ROBIN BRASHEAR,PO BOX 291,WINCHESTER,ID,83555-0291,0000,03,3,7000,200807,1,10,000000000,1,01,,0,0,06,0,03,,,,X30,
030440288,FRIENDS OF MINIDOKA INC,% JANET KEEGAN,PO BOX 1085,TWIN FALLS,ID,83303-1085,0000,03,3,1200,200612,1,15,000000000,1,01,202312,6,6,01,0,12,1149918,1129666,1126146,A80,
030471312,SNAKE RIVER SCHOOL DISTRICT 52 ACTIVITIES FOUNDATION INC,% DALON ESPLIN,575 W 75 S,BLACKFOOT,ID,83221-6126,0000,03,3,1000,200303,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,B11,
030472160,GODS HOME OF COMPASSION,% MERRIANN FORREST,845 HYDE AVE,POCATELLO,ID,83201-3114,0000,03,3,1000,200408,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,K30,
030562170,MARINE CORPS LEAGUE,% SCOTT MAINS,520 5TH ST,LEWISTON,ID,83501-2412,0955,04,9,3000,194607,1,00,908279265,5,01,202306,0,0,02,0,06,0,0,0,,PACK OF IDAHO MODD
030568974,MELBA VALLEY WORSHIP CENTER,,PO BOX 136,MELBA,ID,83641-0136,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
030573862,TRUTH IN LOVE MINISTRIES,% ROBERT PROCOP,6700 N LINDER RD STE 156 PMB A,MERIDIAN,ID,83646-6608,0000,03,3,1000,200704,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,X84,
030578915,MOUNTAIN HOME ATV CLUB INC,% RUSTY FAIRCLOTH,PO BOX 74,MOUNTAIN HOME,ID,83647-0074,0000,04,3,3000,201004,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,M42,
030607690,BARBER VALLEY NEIGHBORHOOD ASSOCIATION,% HANK VINCENT,4150 MACBETH AVE,BOISE,ID,83716-5510,0000,03,3,1000,202111,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,S22,
030612907,WHITE KNOB HISTORICAL PRESERVATION COMMITTEE INC,% EARL A LOCKIE,PO BOX 572,MACKAY,ID,83251-0572,0000,03,3,2100,200705,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A80,
043027864,SOCIETY FOR PEDIATRIC AND PERINATAL EPIDEMIOLOGIC RESEARCH,%DR L VAN MARTER JPN BRIGHAM & WMNS,PO BOX 1831,EAGLE,ID,83616-9107,0000,03,3,1000,199009,1,15,123000000,1,01,202406,4,4,01,0,06,294176,161704,161704,,
043414696,ASSOCIATION FOR PROFESSIONALS IN INFECTION CTRL & EPIDEMIOLOGY INC,% APIC INC,3665 N 3000 E,TWIN FALLS,ID,83301-0359,2628,03,9,1200,197506,1,16,995263059,5,01,202412,0,0,02,0,12,0,0,0,E72C,123 IDAHO INTERMOUNTAIN REGION
043452643,GORONGOSA PROJECT INC,% THE FOUNDATION,313 N WATER AVE,IDAHO FALLS,ID,83402-3716,0000,03,3,2000,199906,1,04,000000000,1,01,202312,7,8,00,1,12,5181903,17931106,,R99,
043547684,TIMBERLINE FOUNDATION INC,,PO BOX 301,DRIGGS,ID,83422-0301,0000,03,3,1200,200201,1,15,000000000,1,01,202412,4,4,01,0,12,376698,121036,118672,B12,
043615661,IDAHO UTILITY COORDINATING COUNCIL,% IDUCC,8310 W USTICK RD STE 100,BOISE,ID,83704-6038,0000,06,3,2000,200910,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,S41,
043629742,RADIO FREE MOSCOW INC,% RICK HENSLEY,114 E 3RD ST,MOSCOW,ID,83843-2906,0000,03,3,2000,200207,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A34,
043634356,BOUNDARY REGIONAL COMMUNITY HEALTH CENTER INC,,301 CEDAR ST STE 206,SANDPOINT,ID,83864-1425,0000,03,3,1000,200210,1,15,000000000,1,01,202312,8,8,01,0,12,18288458,19031990,19031990,E70,KANIKSU HEALTH SERVICES
043659386,ATHANASIUS APOSTOLATE INC,% SCOTT KELLER,1869 E SELTICE WAY,POST FALLS,ID,83854-7019,0000,03,3,1700,201601,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,X20,
043699459,BIRCH ELEMENTARY PTO,% GINA DAVIS,6900 BIRCH LN,NAMPA,ID,83687-8304,0000,03,3,2000,202404,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,B94,
043707132,BANNOCK PLANNING ORGANIZATION,% MORI R BYINGTON,214 E CENTER ST STE 70,POCATELLO,ID,83201-6372,0000,03,3,1000,200409,1,15,000000000,1,01,202409,6,6,14,0,09,1191773,1138649,1138649,S99,
043726091,PTA IDAHO CONGRESS,,1901 W ROOSEVELT AVE,NAMPA,ID,83686-8109,1172,03,9,2000,195202,1,15,059035000,5,01,202406,0,0,01,0,06,0,0,0,B94,FRANKLIN D ROOSEVELT PTA
043731037,BOISE BAROQUE INC,% PAUL DACHER,PO BOX 45937,BOISE,ID,83711-5937,0000,03,3,1200,200305,1,16,000000000,1,01,202406,3,4,01,0,06,90159,233773,233773,A6C,
043776476,PTA IDAHO CONGRESS,% ATLAS PTA TREASURER,3000 W HONEYSUCKLE AVE,HAYDEN,ID,83835-8491,1172,03,9,2000,195202,1,15,059035000,5,01,202406,0,0,02,0,06,0,0,0,B94,ATLAS ELEMENTARY PTA
043801123,IDAHO YOUTH GOLF ASSOCIATION INC,% WILLIAM B COLE,208 S COLE RAOD,BOISE,ID,83709-0000,0000,03,3,1200,200506,1,15,000000000,1,01,202312,5,5,01,0,12,554164,500330,453462,N6A,
043825225,IDAHO MENNONITE RELIEF SALE INC,% RICK BOLLMAN,1413 W BEAR TRACK DR,MERIDIAN,ID,83642-4454,0000,03,3,1000,200801,1,16,000000000,1,01,202406,2,3,01,0,06,11700,68980,68980,X192,
043847953,MIDDLETON CHAMBER OF COMMERCE,% KASSA HARTLEY,PO BOX 434,MIDDLETON,ID,83644-0434,0000,06,3,1000,201405,2,00,000000000,1,01,202412,0,0,02,0,12,0,0,0,S41,
050558778,FAIRVIEW FAMILY ESTATES,,PO BOX 307,ABERDEEN,ID,83210-0307,0000,03,3,1000,200408,1,16,000000000,1,01,202412,4,4,01,0,12,368381,125855,125855,L20,
050561984,PARADISE RIDGE DEFENSE COALITION,% CHARLES C HARRIS,PO BOX 8804,MOSCOW,ID,83843-1304,0000,03,3,1200,201609,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,S01,
050612783,CORNERSTONE CHAPEL CHURCH LLC,% MICHAEL R JORGENSEN,455 N 4TH AVE,POCATELLO,ID,83201-6341,0000,03,3,7000,200505,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
061643177,IDAHO HUNTERS FEEDING THE HUNGRY INC,% JEFF SCHROEDER,700 E AVENUE A,JEROME,ID,83338-2809,0000,03,3,1000,200305,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,K123,
061651054,BEGINNERS MIND SANGHA INC,,1802 RIDGECREST DR,BOISE,ID,83712-6690,0000,03,3,7000,200310,1,10,000000000,1,01,,0,0,06,0,12,,,,X50,
061654062,ADVOCATES FOR THE WEST INC,% LAURENCE J LUCAS,PO BOX 1612,BOISE,ID,83701-1612,0000,03,3,2000,200211,1,15,000000000,1,01,202312,6,6,01,0,12,1803318,2034787,1967865,C34,
061707416,IDAHO ASSOCIATION OF HEALTH UNDERWRITERS,,PO BOX 8102,BOISE,ID,83707-2102,0000,06,3,2000,200401,2,00,000000000,5,01,202308,0,0,02,0,08,0,0,0,S40,
061736261,IDAHO RADIOLOGICAL SOCIETY,% CURTIS H COULAM TREASURER,420 E CURLING DR,BOISE,ID,83702-1901,0000,06,3,3000,201111,2,00,000000000,5,01,202412,0,0,02,0,12,0,0,0,S41,JAMES FRIEDRICH SCHMUTZ
061773741,PIOTPLACE INC,% BETTY JAQUES,7 N 600 W,BLACKFOOT,ID,83221-5533,0000,03,3,1000,200607,1,15,000000000,1,01,202502,0,0,02,0,02,0,0,0,P80,
061781559,UNITED STATES BOWLING CONGRESS INC,% ROB CHACE,1240 N 900 E,SHELLEY,ID,83274-5106,4348,03,9,1000,200409,1,16,000000000,1,01,202407,0,0,02,0,07,0,0,0,N70,86475 IDAHO FALLS USBC
061790523,PEOPLE AGAINST IMPAIRED DRIVERS,% RC STARR,1270 CREEKSIDE CT,IDAHO FALLS,ID,83404-8210,0000,03,3,1000,200805,1,04,000000000,1,01,202312,1,1,00,1,12,2320,100,,B990,
061799729,SOMALI BANTU COMMUNITY ASSOCIATION OF BOISE IDAHO,% ABUBAKAR MOHAMED,PO BOX 9874,BOISE,ID,83707-4874,0000,03,3,1000,201607,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,P84,
061811284,EASTERN IDAHO JAZZ SOCIETY,% EASTERN IDAHO JAZZ SOCIETY,PO BOX 50926,IDAHO FALLS,ID,83405-0926,0000,03,3,1000,200905,1,16,000000000,5,01,202412,0,0,02,0,12,0,0,0,A6C,EIJS
061835278,NAMPA BOW CHIEFS,% JENNIFER DORAMUS,PO BOX 106,NAMPA,ID,83653-0106,0000,03,3,1000,201405,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,N30,
113643458,NORTH STAR CHARTER SCHOOL INC,,839 N LINDER RD,EAGLE,ID,83616-4427,0000,03,3,2000,200211,1,11,000000000,1,01,202406,8,7,01,0,06,11703390,9872903,9872903,B29,
113645751,ISAIAH FOUNDATION INC,% JENNIFER ALBAN,PO BOX 777,IDAHO CITY,ID,83631-0777,0000,03,3,1000,200301,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,N20,
