EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010559251,KANZA HOUSE GENEALOGY HISTORY & RESOURCE LIBRARY ASSOCIATION,% JOYCE JONES,106 PINE ST,LEBANON,KS,66952-8808,0000,03,3,2000,200203,1,16,000000000,1,01,202206,0,0,02,0,06,0,0,0,A80,
010576305,ANNALS OF FAMILY MEDICINE INC,% STEPHANIE HANAWAY,11400 TOMAHAWK CREEK PARKWAY,LEAWOOD,KS,66211-2680,0000,03,3,1200,200307,1,17,000000000,1,01,202112,5,5,01,0,12,658856,743105,743105,A33,
010599701,MELVERN COMMUNITY PRIDE INC,% CORINE YOCKEY,102 NE MAIN ST,MELVERN,KS,66510-9355,0000,03,3,1000,200405,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,N31,
010615880,CHILDRENS GARDEN INC,% JEAN PASSANTINO,4901 REINHARDT DRIVE,SHAWNEE MISSION,KS,66205-1544,0000,03,2,2000,200207,1,11,000000000,1,01,202206,4,4,01,0,06,268504,403560,403560,B21,
010645545,STRATEGIC FAMILY MINISTRIES ASSOCIATION,% CHRIST LUTHERAN CHURCH,11720 NIEMAN RD,OVERLAND PARK,KS,66210-4308,0000,03,3,7000,200308,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,X99,
010668362,AMERICAN SEWING GUILD INC,% SHERRY JAGELS,637 W 710TH AVE,HEPLER,KS,66746-2112,3534,03,9,2000,198603,1,15,281995000,5,01,,0,0,01,0,12,,,,A20,PITTSBURGH KANSAS CHAPTER
010668886,SERVANTS INTERNATIONAL INC,% STEVEN R SIZEMORE,1400 LAWRENCE AVE,LAWRENCE,KS,66049-2940,0000,03,3,7100,200208,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,X20,
010674969,COMMUNITY HEALTH COUNCIL OF WYANDOTTE COUNTY INC,% WYANDOTTE HEALTH FOUNDATION,803 ARMSTRONG AVE,KANSAS CITY,KS,66101-2604,0000,03,3,1200,200212,1,15,000000000,1,01,202209,6,6,01,0,09,2065075,3325533,3325533,E21,
010697205,KANSAS PODIATRIC MEDICAL ASSOCIATION,% WAYNE PROBASCO,PO BOX 4178,LAWRENCE,KS,66046-1178,0000,03,3,2800,201709,1,16,000000000,1,01,202305,0,0,02,0,05,0,0,0,B03,
010704842,HOUSE OF PRAYER EVANGELISTIC CHURCH,% BERNARD CRAWFORD JR,2940 N 17TH ST,KANSAS CITY,KS,66104-4913,0000,03,3,7120,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
