EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010916795,PLEASANT GREEN CHRISTIAN METHODIST EPISCOPAL CHURCH,% REV BRENDA HOLLOWELL,DAWSON SPRING RD,HOPKINSVILLE,KY,42240-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,
134350037,MCNEELY CEMETERY,% SONYA K MCCHESNEY,WALTON CALVERT ROAD,DAWSON SPRINGS,KY,42408-0000,0000,13,3,1000,200805,1,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,Y50,
202698137,NATIONAL COUNCIL ON YOUTH LEADERSHIP,% JIM HOLIFIELD,C/O HOLIFIELD PHOTOGRAPHY,LEXINGTON,KY,40503-0000,5309,03,9,1000,200604,1,15,914349000,1,01,,0,0,01,0,12,,,,,CENTRAL KY COUNCIL ON YOUTH LEADERS
203161219,HOSEAS HOUSE INC,% AHEAD INC,LOCAL,LOUISVILLE,KY,40218-0000,0000,03,3,1000,200608,1,15,000000000,1,01,202312,4,4,01,0,12,430030,125746,125746,P43,
237032286,HOUR OF HARVEST INC,,PO BOX Y,BEATTYVILLE,KY,41311-2025,0000,03,3,7000,197610,1,10,001006007,1,01,,0,0,06,0,06,,,,,
237085912,NEW BETHLEHEM BAPTIST CHURCH,,STAR ROUTE,CAMBLESVILLE,KY,42718-0000,0000,03,3,7000,197011,1,10,001000000,5,01,,0,0,06,0,12,,,,,
237222485,PI MU EPSILON INC,% PROF MELANIE DUNKAM,MATH DEPT WESTERN KENTUCKY UNIV,BOWLING GREEN,KY,42101-0000,1226,03,9,2000,197209,1,16,059036205,5,01,202406,0,0,02,0,06,0,0,0,,KENTUCKY BETA CHAPTER
237354792,TAU BETA PI ASSOCIATION INC,% LARRY D TYLER,JB SPEED SCHOOL OF ENGINEERING,LOUISVILLE,KY,40292-0001,0782,07,9,1000,194501,2,00,032000000,5,01,202405,0,0,02,0,05,0,0,0,,KENTUCKY BETA CHAPTER
237418312,RICHMOND ROSEMONT CHURCH OF THE NAZARENE,,HANOVER SPRINGVIEW DR,RICHMOND,KY,40475-0000,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
237589431,OHIO CONFERENCE OF THE BIBLE METHODIST CONNECTION OF CHURCHES,,CORNER MADISON & WALLACE,COVINGTON,KY,41011-0000,2022,03,9,7000,197211,1,10,001000000,5,01,,0,0,06,0,06,,,,,COVINGTON
263417372,HISTORIC TODD COUNTY,% GLENN N SLACK,ONE PUBLIC SQUARE,ELKTON,KY,42220-0000,0000,03,3,1280,201701,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,A80,
272413141,INTERNATIONAL VISUAL LITERACY ASSOCIATION,% TERI SOSA,WATERFIELD LIBRARY,MURRAY,KY,42071-0000,0000,03,3,2000,202212,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B03,IVLA
310896510,FAITH HILLS MENNONITE CHURCH,% CLINTON AMSTUTZ,LOCAL,CROCKETT,KY,41413-0000,0000,03,3,7000,197702,1,10,001000000,5,01,,0,0,06,0,12,,,,,
310940539,HERITAGE BAPTIST CHURCH OF REIDLAND KENTUCKY,,RIVERVIEW ACRES LEDBETTER,LEDBETTER,KY,42058-0000,0000,03,3,7000,197810,1,10,001000000,5,01,,0,0,06,0,12,,,,,
310945552,LORDS MISSION INC,,CORNER OF ROSE & CHERRY STS,PRINCETON,KY,42445-0000,0000,03,3,0000,197901,1,10,001000000,1,01,,0,0,06,0,12,,,,,
310970482,LOUISVILLE CARDINAL INCORPORATED UNIVERSITY OF LOUISVILLE,,UNIVERSITY OF LOUISVILLE STRICKLER,LOUISVILLE,KY,40208-0000,0000,03,3,2000,198003,1,16,120000000,1,01,202106,1,3,02,0,06,7762,43520,43520,,
310991511,SOUTH JEFFERSON CEMETERY,% MARTIN ROSENBERGER,DIXIE HWY AND BETHANY LANE,LOUISVILLE,KY,40272-0000,0000,13,3,2000,198011,1,00,900000000,1,01,202404,0,0,02,0,04,0,0,0,,
310992626,WOODFORD CHRISTIAN CHURCH,,LEXINGTON RD AT PADDOCK RD,VERSAILLES,KY,40383-0000,0000,03,3,7000,198011,1,10,001000000,1,01,,0,0,06,0,12,,,,,
311032571,BETHEL CHURCH OF CHRIST CEMETERY TRUST FUND,% MRS DWAIN OVERBY,BACKUSBURG ROAD,MAYFIELD,KY,42066-0000,0000,13,3,1000,201109,1,00,901000000,2,01,202312,0,0,02,0,12,0,0,0,Y50,
311095582,BETHEL APOSTOLIC TABERNACLE INC OF IRVINE KY,,RIDDLE ST,IRVINE,KY,40336-0000,0000,03,3,7000,198411,1,10,001000000,1,01,,0,0,06,0,12,,,,,
311107560,I AM JESUS TABERNACLE,% HAROLD E HUNT,LOCAL,META,KY,41501-0000,0000,03,3,7000,198410,1,10,001000000,5,01,,0,0,06,0,12,,,,,
311505780,THE HARNED AREA VOLFIRE & RESCUE DEPARTMENT INCORPORTED,% JESSE PILE,PO,HARNED,KY,40144-0000,0000,03,3,1200,200510,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,M24,
311553923,FOREST PARK COMMUNITY CHURCH INC,% RONNIE CASWELL,COMMUNITY CHURCH INC,LOUISVILLE,KY,40253-0000,0000,03,3,7000,199803,1,10,001000000,1,01,,0,0,06,0,12,,,,X20Z,
320157651,MARY BUTLER LONGEST FOUNDATION,% STOCK YARDS BANK & TR CO,C/O STOCK YARDS BANK TR CO P O B,LOUISVILLE,KY,40232-0000,0000,03,3,1000,200512,1,04,000000000,2,01,202312,6,6,00,1,12,4105711,2227605,,T22,
342056372,ORPHANS BRIGADE OF THE MECHANIZED CAVALRY INC,% CARL RANDY BEELER,RANDY BEELER,PADUCAH,KY,42003-0000,0000,03,3,1000,200802,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,A115,
356004029,BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN,% TIMOTHY P SMITH,LOCAL,HANSON,KY,42413-0000,0603,05,9,3000,194008,2,00,263264279,5,01,,3,3,01,0,12,,,,,BLET IN STATE LEGISLATIVE BOARD
451447370,COMMUNITY SERVICES OF NORTHERN KENTUCKY INC,% CEO,Z,FLORENCE,KY,41042-0000,0000,03,3,1000,201408,1,16,000000000,1,01,202312,6,6,01,0,12,2430119,1658413,1634643,P50,ADULT DAY OF NORTHERN KENTUCKY
472441025,BOYDSVILLE CEMETERY FUND,% MARK WHEELER,I,SEDALIA,KY,42079-0000,0000,13,3,1000,201808,1,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,Y50,
473772095,STUART CHILD DEVELOPMENT INC,,STONEWALL LANE,CYNTHIANA,KY,41031-0000,0000,03,3,2000,202404,1,15,000000000,5,01,202312,0,0,02,0,12,0,0,0,B01,LEXINGTON INDEPENDENT HOMESCHOOL
521538337,PSI CHI THE NATIONAL HONOR SOCIETY IN PSYCHOLOGY,% MELINDA LEONARD,DEPARTMENT OF PSYCHOLOGY,LOUISVILLE,KY,40292-0001,1400,03,9,2000,195712,1,16,059036000,5,01,202406,0,0,02,0,06,0,0,0,,UNIVERSITY OF LOUISVILLE
521538338,PSI CHI THE INTERNATIONAL HONOR SOCIETY IN PSYCHOLOGY,% DOUGLAS KRULL,DEPARTMENT OF PSYCHOLOGY,HIGHLAND HEIGHTS,KY,41099-0001,1400,03,9,2000,195712,1,16,059036000,5,01,202406,0,0,02,0,06,0,0,0,,NORTHERN KENTUCKY UNIVERSITY
521945778,KENTUCKY ASSOCIATION OF SCHOLARS,% BEN FOSTER,COLLEGE OF BUSINESS UNIVERSITY,LOUISVILLE,KY,40292-0001,3305,03,9,1000,199111,1,15,033000000,1,01,202312,0,0,02,0,12,0,0,0,B40C,
610600053,MILLBROOKE CHRISTIAN CHURCH,,COUNTRY CLUB LANE EXTENSION,HOPKINSVILLE,KY,42240-0000,0000,03,3,1000,196507,1,10,001000000,1,01,,0,0,06,0,06,,,,,
610608006,BULLITTSBURG CEMETERY COMPANY,% C L CROPPER,P O BOX,BURLINGTON,KY,41005-0000,0000,03,3,7000,195008,1,10,001900901,5,01,,0,0,06,0,12,,,,,
610719986,KERNEL PRESS INC,,JOURNALISM BUILDING UNIVERSITY OF,LEXINGTON,KY,40506-0001,0000,03,3,2000,197210,1,16,059120000,1,01,202106,1,3,01,0,06,934,59437,59437,A33Z,
610932167,BURGIN CHRISTIAN CHURCH,,PO BOX D,BURGIN,KY,40310-0287,1125,03,9,7100,195107,1,10,029000000,5,01,,0,0,06,0,12,,,,,
610954369,ELKTON,,W MAIN AND STREETS AVE,ELKTON,KY,42220-0000,1588,03,9,7000,196307,1,10,001000000,5,01,,0,0,06,0,12,,,,,
610969233,BELLEVUE HIGH SCHOOL ALUMNI ASSOCIATION INC,% JULIA W FISCHER,CENTER AND LAFAYETTE AVENUE,BELLEVUE,KY,41073-0000,0000,03,3,2000,198102,1,16,034040927,1,01,202312,0,0,02,0,12,0,0,0,,
611008712,BARDSTOWN INDUSTRIAL DEVELOPMENT CORPORATION,,ONE COURT SQUARE,BARDSTOWN,KY,40004-1574,0000,06,3,2000,198607,2,00,403000000,1,01,202306,6,3,01,0,06,1072770,95168,95168,,
