EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010002847,HULLS COVE NEIGHBORHOOD ASSOCIATION,% JOANNE SOUSA,PO BOX 327,MOUNT DESERT,ME,04660-0327,0000,03,3,1000,200007,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A80,
010017496,AGAMENTICUS YACHT CLUB OF YORK,,PO BOX 534,YORK HARBOR,ME,03911-0534,0000,03,3,2000,199303,1,15,149000000,1,01,202312,4,4,01,0,12,411425,164975,152419,,
010018555,ALPHA TAU OMEGA FRATERNITY,,81 COLLEGE AVE,ORONO,ME,04473-4210,0287,07,9,1000,194101,2,00,036000000,5,01,202112,0,0,02,0,12,0,0,0,,BETA UPSILION MAINE-ORONO
010018605,AMALGAMATED TRANSIT UNION,% BRENDAN BURKE,PO BOX 979,PORTLAND,ME,04104-0979,0155,05,9,3000,194010,2,00,263000000,5,01,202312,3,4,01,0,12,30085,101806,101806,,714 LOCAL
010018922,AMERICAN LEGION,% DEBRA RUMERY,5 VERTI DRIVE SUITE B,WINSLOW,ME,04901-0727,0964,19,9,1000,194610,1,00,319907000,5,01,202304,4,4,01,0,04,271690,231785,231785,,AMERICAN LEGION AUXILIARY DEPARTMEN
010018923,AMERICAN LEGION POST 0019 THOMAS W COLE POST,,PO BOX 801,SANFORD,ME,04073-0801,0925,19,9,1000,194603,1,00,907908000,1,01,202305,4,5,01,0,05,195501,849048,241362,,
010018927,AMERICAN LEGION POST 0005 BOURQUE LANIGAN,,120 DRUMMOND AVENUE SUITE 3,WATERVILLE,ME,04901-5861,0925,19,9,1000,194603,1,00,907908000,1,01,202312,4,3,02,0,12,349130,28662,11785,,
010018930,AMERICAN LEGION,% FINANCE OFFICER,5 VERTI DR,WINSLOW,ME,04901-0727,0925,19,9,1000,194603,1,00,907908000,5,01,202404,6,6,01,0,04,2036222,1894783,781917,,22 DEPT OF MAINE
010019705,ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,,PO BOX 430,HOLDEN,ME,04429-0430,0275,10,6,1000,194101,1,00,260279000,5,01,202403,6,6,01,0,03,2846995,1240758,774309,,
010019709,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% LEE OLIVER,PO BOX 1348,HOULTON,ME,04730-1348,0000,10,3,1000,202105,1,00,036000000,5,01,202312,0,0,02,0,12,0,0,0,Y42,96 MONUMENT
010021545,MAINE STATE CHAMBER OF COMMERCE,,128 STATE ST STE 101,AUGUSTA,ME,04330-5630,0000,06,3,1000,192110,2,00,205000000,1,01,202306,6,6,01,0,06,1648532,2320248,2270959,,
010022320,AUGUSTA COUNTRY CLUB,,PO BOX 239,MANCHESTER,ME,04351-0239,0000,07,3,1000,192908,2,00,280000000,1,01,202312,6,6,01,0,12,1174433,2573554,2090418,,
010022415,KENNEBEC VALLEY CHAMBER OF COMMERCE,,269 WESTERN AVE,AUGUSTA,ME,04330-4933,0000,06,3,3000,194508,2,00,200402403,1,01,202312,5,5,01,0,12,602885,946759,626160,,
010024155,BANGOR BAND,% BANGOR PARKS & RECREATION,647 MAIN STREET,BANGOR,ME,04401-6871,0000,03,3,1000,198407,1,15,090000000,5,01,202409,0,0,02,0,09,0,0,0,,
010024245,BANGOR REGION CHAMBER OF COMMERCE,,2 HAMMOND ST STE 1,BANGOR,ME,04401-5188,0000,06,3,3000,194501,2,00,403279000,1,01,202312,4,5,01,0,12,349152,612739,573304,,
010024455,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,108 ODLIN RD,BANGOR,ME,04401-6704,1156,08,9,1000,197210,1,00,279265000,5,01,202403,6,6,01,0,03,1336237,2912451,748244,,244 BANGOR
010024645,BANGOR SYMPHONY ORCHESTRA,% DAVID,PO BOX 1441,BANGOR,ME,04402-1441,0000,03,3,1200,196806,1,15,119059000,1,01,202306,6,6,01,0,06,3546551,1744111,866598,A69Z,
010024907,BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,% RICHARD COUGH,127 WEST ST,BAR HARBOR,ME,04609-1430,0000,03,3,1000,199603,1,03,402404000,1,01,202407,6,4,00,1,07,1337999,379615,,S20Z,
010027415,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MALCOLM GATER,17 WIGHT ST,BELFAST,ME,04915-0000,0275,08,9,1000,000000,0,00,000000000,5,01,202403,0,0,02,0,03,0,0,0,,24 BELFAST LODGE
010027741,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 2206,AUGUSTA,ME,04338-2206,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,6,01,0,03,787000,2375841,816765,,964 AUGUSTA
010027746,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,% ROBERT CLEARY,86 MAIN ST,HOULTON,ME,04730-2121,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,5,01,0,03,579860,641251,271394,,835 HOULTON
010027747,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,% KATHLEEN COTTERLY,282 MAINE ST,POLAND,ME,04274-5105,1156,08,9,1000,195110,1,00,279265000,5,01,202403,0,0,02,0,03,0,0,0,,LEWISTON LODGE 371
010027748,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,0188 PORTLAND 1945 B CONGRESS STREE,PORTLAND,ME,04102-0000,1156,08,9,1000,195110,1,00,279265000,5,01,202303,6,6,01,0,03,1274654,1126820,345647,,0188 PORTLAND
010027751,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 983,ROCKLAND,ME,04841-0983,1156,08,9,1000,195110,1,00,279265000,5,01,202403,5,6,01,0,03,941277,2038927,508017,,1008 ROCKLAND
010028850,BERWICK CEMETERY ASSOCIATION INC,% RON VIGUE,PO BOX 227,BERWICK,ME,03901-0227,0000,13,3,2000,201609,1,00,000000000,1,01,202312,6,4,01,0,12,2755299,207687,113326,Y50,
010029480,BIDDEFORD SACO CHAMBER OF COMMERCE INC,,28 WATER ST,BIDDEFORD,ME,04005-2690,0000,06,3,1000,194511,2,00,200000000,1,01,202412,3,4,01,0,12,52202,163138,163138,,
010032215,BOOTHBAY HARBOR YACHT CLUB,,PO BOX 497,W BOOTHBY HBR,ME,04575-0497,0000,07,3,1000,196808,2,00,280318319,1,01,202312,6,6,01,0,12,2753384,1370449,1207055,,
010039552,CAMDEN YACHT CLUB,,68 BAY VIEW ST,CAMDEN,ME,04843-2242,0000,07,3,1000,196710,2,00,319317000,1,01,202312,5,5,01,0,12,669771,731150,706417,,
010043280,PORTLAND REGIONAL CHAMBER,,93 EXCHANGE ST,PORTLAND,ME,04101-5001,0000,06,3,3000,195201,2,00,200403279,1,01,202306,6,6,01,0,06,2307675,1256853,1115189,,
010043285,LEWISTON AUBURN METROPOLITAN CHAMBER OF COMMERCE,,415 LISBON ST STE 100,LEWISTON,ME,04240-7663,0000,06,3,3000,194102,2,00,200403279,1,01,202312,5,5,01,0,12,945197,868592,834155,,
010044660,CHRISTIAN CIVIC LEAGUE OF MAINE INC,,499 BROADWAY PMB 362,BANGOR,ME,04401-3460,0000,04,3,1000,194310,2,00,059029000,1,01,202312,4,4,01,0,12,215320,405163,405163,X20Z,
010052240,CUMBERLAND BAR ASSOCIATION,% PETRUCCELLI MARTIN & HADDOW LLP,PO BOX 434,FREEPORT,ME,04032-0434,0000,06,3,2000,193408,2,00,061205040,1,01,202312,0,0,02,0,12,0,0,0,,CLEAVES LAW LIBRARY
010052260,CUMBERLAND CLUB,,116 HIGH ST,PORTLAND,ME,04101-3815,0000,07,3,1000,194206,2,00,319916000,1,01,202312,6,6,01,0,12,1799731,2775190,1655969,N50,
010055140,HALLOWELL CENTENNIAL BURIAL GROUND ASSN INC,,10 LITCHFIELD RD,HALLOWELL,ME,04347-1109,0000,13,3,1000,197603,0,00,000000000,5,01,202406,6,4,01,0,06,1036636,168401,133258,,
010056837,EASTERN MAINE ELECTRIC COOPERATIVE INC,% SCOTT HALLOWELL CONTROLLER,PO BOX 425,CALAIS,ME,04619-0425,0000,12,3,1000,196406,2,00,279000000,3,01,202312,9,8,01,0,12,53940615,17279980,17279980,,
010056995,NATIONAL KITCHEN & BATH ASSO,% GAIL KRUSEC,19 ALLEN DR,WINDHAM,ME,04062-4517,3379,06,9,2000,199407,2,00,200000000,5,01,202412,0,0,02,0,12,0,0,0,,MAINE CHAPTER
010061300,FRATERNAL ORDER OF EAGLES,,164 WATER ST,SKOWHEGAN,ME,04976-1735,0102,08,9,1000,199108,2,00,260000000,5,01,202405,4,6,01,0,05,112173,1174401,89873,,1457 AERIE
010061310,FRATERNAL ORDER OF EAGLES,% AERIE SECRETARY,184 SAINT JOHN ST,PORTLAND,ME,04102-3021,0102,08,9,1000,199108,2,00,260000000,5,01,202405,5,6,01,0,05,539174,1397865,513488,,AERIE SECRATARY
010063057,FRATERNAL ORDER OF EAGLES,,57 BIRCH ST,BIDDEFORD,ME,04005-3311,0102,08,9,1000,199108,2,00,260000000,5,01,202305,4,5,01,0,12,312000,562963,562963,,804 AERIE
010063430,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,76 INDUSTRIAL ST,WATERVILLE,ME,04901-5774,1156,08,9,1000,195110,1,00,279265000,5,01,202403,6,6,01,0,03,1543457,2765119,1030876,,905 WATERVILLE
