EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010548216,TRI-CITY BOXING CLUB,% BENNIE RAY WALLEY,3911 SNOOK AVE,PASCAGOULA,MS,39581-3439,0000,03,3,1000,201902,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,A99,
010554145,LUCIAN A & JERRI JETER HARVEY FOUNDATION,% JERRI JETER HARVEY,2222 EASTOVER DR,JACKSON,MS,39211-6721,0000,03,3,1000,200205,1,04,000000000,1,01,202112,4,1,00,1,12,132087,14,,T22,
010558961,HARRISBURG CULTURAL AND SOCIAL SERVICES CENTER INC,,1800 W MAIN ST STE 12 # 12,TUPELO,MS,38801-3256,0000,03,3,1000,200304,1,15,000000000,1,01,202112,6,4,01,0,12,1210964,381382,381382,P80,
010561348,PHI THETA KAPPA FRATERNITY,% CHIEF FINANCIAL OFFICER,PO BOX 13729,JACKSON,MS,39236-3729,1350,03,9,2000,195609,1,15,059000000,1,01,202212,0,0,02,0,12,0,0,0,,BETA KAPPA IOTA CHAPTER
010569087,CHURCH OF CHRIST CHRISTIAN CNTR NON-DENOMINATIONAL EST 2002,,6731 SANDBOURNE W,OLIVE BRANCH,MS,38654-7543,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010577626,CHRISTIAN METHODIST EPISCOPAL CHURCH,,430 W GILMORE ST,SENATOBIA,MS,38668-2523,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,MOUNT OLIVE CME CHURCH
010605437,REPENTANCE IN FAITH MINISTRIES INTERNATIONAL,,PO BOX 261,BELDEN,MS,38826-0261,0000,03,3,7000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010613317,GREENLEAF VOLUNTEER FIRE DEPARTMENT,% KEVIN R DAVIS,8584 PALESTINE RD,COLDWATER,MS,38618-8027,0000,03,3,1000,201805,1,15,000000000,1,01,202112,3,3,02,0,12,89466,41827,41827,M24,
010623527,SONS OF CONFEDERATE VETERANS INC,% LARRY HELLUMS,223 COUNTY ROAD 167,RANDOLPH,MS,38864-9613,5443,03,9,1200,200708,1,15,119995000,1,01,202207,0,0,02,0,07,0,0,0,W30,1969 CALHOUN AVENGERS CAMP
010638550,JERUSALEM MISSIONARY BAPTIST CHURCH,,PO BOX 190,PLANTERSVILLE,MS,38862-0000,0000,03,3,1000,200209,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010638617,GOOD SHEPARD OUTREACH MINISTRIES INTERNATIONAL,% OBIE S FOX,574 HARDIN CIR,PONTOTOC,MS,38863-7257,0000,03,3,7000,200301,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010670794,TOGETHER ENHANCING AUTISM AWARENESS IN MISSISSIPPI INC,% YEAGER MARK,PO BOX 1,TAYLORSVILLE,MS,39168-0001,0000,03,3,1000,200512,1,15,000000000,1,01,202112,4,4,01,0,12,464684,177348,177348,G84,
010696059,PRECIOUS TYMES FOUNDATION,% ROBERT BRADDY,531 R T BRADDY RD,FLORENCE,MS,39073-8084,0000,03,3,1000,201706,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,B90,
010697050,UNITY CHURCH OF GULFPORT,% JUDY VOGHT SL-NON UNITY,PO BOX 1025,GULFPORT,MS,39502-1025,2062,03,9,2700,197002,1,10,059029000,5,01,,0,0,06,0,12,,,,,UNITY OF GULFPORT
010715242,INTERCESSORY GROUP MINISTRIES AND OUTREACH SERVICES,% DELOIS CARTER,PO BOX 48,SARDIS,MS,38666-0048,0000,03,3,1720,200403,1,16,000000000,1,01,202112,5,4,01,0,12,571027,135861,135861,X20,
010725791,HABITAT FOR HUMANITY INTERNATIONAL INC,% RAY VUNCANNON,PO BOX 787,BOONEVILLE,MS,38829-0787,8545,03,9,1000,198701,1,15,029380000,1,01,202206,0,0,02,0,06,0,0,0,L20Z,PRENTISS COUNTY
010746171,REAL LIFE ASSEMBLIES OF GOD,% SUSIE DICKSON,9305 STATELINE RD APT 30G,OLIVE BRANCH,MS,38654-3770,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,08,,,,,
010752106,BROOK HAVEN MENNONITE CHURCH,,2971 TOGO RD,BROOKSVILLE,MS,39739-9786,1971,03,9,7000,196901,1,10,059150001,5,01,,0,0,06,0,12,,,,,
010762954,POTTERS HOUSE FELLOWSHIP WORSHIP CENTER,% ISAIAH V WILLIAMS SR,1110 GRAND AVE,JACKSON,MS,39203-2505,0000,03,3,7000,200307,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010785222,NEW MEDINAH EDUCATION FOUNDATION,% RASHAD N ALI,PO BOX 18612,HATTIESBURG,MS,39404-8612,0000,03,3,1000,200601,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,B90,
010801435,STRANGERS HOME MISSIONARY BAPTIST CHURCH,% GWENDOLYN TRIPLETT,178 STEPHEN LYON RD,SHAW,MS,38773-9605,0000,03,3,1270,201511,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,X20,
010827777,TOASTMASTERS INTERNATIONAL,% SUNRISERS TOASTMASTERS CLUB,4479 STONE PARK BLVD,OLIVE BRANCH,MS,38654-6454,0820,03,9,2000,194505,1,16,059319000,1,01,202112,0,0,02,0,12,0,0,0,,763957 SUNRISERS TOASTMASTERS CLUB
010830390,SUREHOUSE COVENANT CHURCH,% ANECIA B WALKER,PO BOX 18523,HATTIEBURG,MS,39404-8523,0000,03,3,7000,200905,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010840977,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,% MILDRED HALL,625 DONNA DR,MCCOMB,MS,39648-5601,5720,19,9,1000,201008,2,00,000000000,5,01,202206,0,0,02,0,06,0,0,0,W30,4934 COLEMAN-TRANTHAM AUXILIARY
010855951,WOMENS ON THE MOVE OUTREACH MINISTRIES,% KATHY CUTTS,1046 GARDEN PARK DR,JACKSON,MS,39204-5337,0000,03,3,7000,200801,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010855957,GATEWAY TO HEAVEN DELIVERANCE MINISTRIES,% DAISY PATRICK,4203 HENDERSON RD,BYRAM,MS,39272-9230,0000,03,3,7000,200605,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010864209,FRIENDS OF MISSISSIPPI LIBRARIES INC,% STEPHANIE FOLEY,PO BOX 16,UNION,MS,39365-0016,8571,03,9,1300,198804,1,16,061000000,1,01,202112,0,0,02,0,12,0,0,0,,FRIENDS OF KEMPTER NEWTON LIBRARIES
010864787,HOUSE OF YISRAEL OF MISSISSIPPI,% CAROLYN F PATTERSON,1080 PECAN PARK CIR,JACKSON,MS,39209-6913,0000,03,3,7000,200611,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010867838,NEW TESTAMENT HOUSE OF GOD PENTECOSTAL APOSTOLIC CHURCH INC,% JAMES L GRAY,PO BOX 31732,JACKSON,MS,39286-1732,0000,03,3,7000,200608,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,X21,
010869469,PARAKLETOS,% TORY BRADLEY,559 CASEY LN,COLUMBUS,MS,39702-7736,0000,03,3,1200,201608,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,J20,PARAKLETOS
010886091,COALITION OF AFRICAN AMERICAN COMMUNITIES,% ANTHONY THOMPSON,3280 39TH AVE,GULFPORT,MS,39501-5833,0000,03,3,1200,200806,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,O50,
010889507,SALEM MISSIONARY BAPTIST CHURCH,% ANTONNIO BENTON,PO BOX 104,PAULDING,MS,39348-0104,0000,03,3,7000,201602,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010907639,NEW BEGINNING CENTER,% MISSY WEEKS,PO BOX 384,VAIDEN,MS,39176-0384,0000,03,3,1200,200908,1,15,000000000,5,01,202112,0,0,02,0,12,0,0,0,P20,
010908494,DANVILLE CME CHURCH,,332 CR 408,RIENZE,MS,38865-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,
010916703,TOPS CLUB INC,% DAVID STIVER,316 CARTER RD,BILOXI,MS,39531-2804,5501,03,9,1200,200809,1,16,000000000,5,01,202203,0,0,02,0,03,0,0,0,,214 BILOXI TOPS MS
010916705,TOPS CLUB INC,% BRENDA MILLS,1523 1B PARKWOOD DR N,GULFPORT,MS,39503-0000,5501,03,9,1200,200809,1,16,000000000,5,01,202203,0,0,02,0,03,0,0,0,,190 DIBERVILLE TOPS MS
010921146,FOCUS OUTREACH COMMUNITY DEVELOPEMENT CORPORATION,,PO BOX 270,LOUISVILLE,MS,39339-0270,0000,03,3,1000,201407,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,L21,
010933309,P U R E & A C E P,,908 CROSS ST,CLEVELAND,MS,38732-4030,0000,03,3,1200,201005,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,N30,
010935304,EDNA B AND JOYCE FAY WASHINGTON BREAST CANCER FOUNDATION,,PO BOX 18432,NATCHEZ,MS,39122-8432,0000,03,3,1000,201205,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,G12,
010935591,VFW AUXILIARY TO GEORGE ROBERT MITCHELL POST 4877,% VFW AUXILIARY DEP OF MISSISSIPPI,100 W LOVELESS RD,BOONEVILLE,MS,38829-9714,0000,19,3,1000,202007,1,00,000000000,1,01,202206,0,0,02,0,06,0,0,0,W30,
010952687,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MISSISSIPPI,% DOUGLAS MAXWELL,6458 KOME DR,DIAMONDHEAD,MS,39525-3816,8628,04,9,3000,197211,1,00,907000000,5,01,202206,0,0,02,0,06,0,0,0,,2880 DIAMONDHEAD
010957630,FRIENDS OF MISSISSIPPI LIBRARIES INC,,10391 AUTO MALL PKWY,DIBERVILLE,MS,39540-3750,8571,03,9,1300,198804,1,16,061000000,1,01,,0,0,02,0,12,,,,,FRIENDS OF THE JERRY LAWRENCE LIBRA
010960725,CALVARY ASSEMBLY OF GOD,,585 OLD HIGHWAY 26 W,POPLARVILLE,MS,39470-7520,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,MATTHEW KITE MINISTER
010962504,COVENANT WORD MINISTRIES,% SANDRA A HUDSON,5229 STONECREST DR,OLIVE BRANCH,MS,38654-0210,0000,03,3,7000,201309,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,X20,DALE HUDSON TEACHING MINISTRIES
010967854,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% VANESSA K DUETT,4807 13TH ST,MERIDIAN,MS,39307-5465,1495,19,9,1000,196008,1,00,908907000,5,01,202112,0,0,02,0,12,0,0,0,,803 MOPHA UNIT
010969545,LIVING FOR LEGACIES,% YOMEKA GAFFNEY,2302 IDAHO ST,JACKSON,MS,39213-5426,0000,03,3,1000,201008,1,15,000000000,1,01,202007,0,0,02,0,07,0,0,0,P60,
010973441,NEW BEGINNING MINISTRIES INC,% GEORGE PRITCHARD,1409 STACI CIR,TUPELO,MS,38801-6428,0000,03,3,1200,201701,1,16,000000000,1,01,202012,0,0,02,0,12,0,0,0,P30,NB MINISTRIES
020370695,NCOBPS INC,,14000 HWY 82 W 5098,ITTA BENA,MS,38941-0000,0000,03,3,2000,199702,1,16,995123000,1,01,202112,4,4,01,0,12,274127,153103,153103,V24,
020533013,LITTLE ROCK ASSEMBLY OF GOD,% LORI BUNCH,PO BOX 348,WAYNESBORO,MS,39367-0348,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,
020535669,HAMILTON CHAPEL,% JOHNNY TURNAGE,19 HAMILTON CHAPEL RD,WATERFORD,MS,38685-9745,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,
020543266,CARBO FOUNDATION,% RON CARBO,106 MALLARD WAY,CLINTON,MS,39056-6268,0000,03,3,1200,201908,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,S80,
020547778,FAITH APOSTOLIC TABERNACLE,% HARRY COLLINS,110 S LOWE ST,HAZELHURST,MS,39083-3015,0000,03,3,7000,200601,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020551415,WORD OF GOD MINISTRIES,% HATTIE M YOUNG,647 NORRIS ST,GREENVILLE,MS,38703-6043,0000,03,3,3000,200708,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020556954,NATIONAL SOJOURNERS INC,% THOMAS L CUMBERLAND,PO BOX 1713,LUCEDALE,MS,39452-1713,1028,04,9,3000,194808,0,00,000000000,5,01,202206,0,0,02,0,06,0,0,0,,171 SOUTH MISSISSIPPI CHAPTER
020576582,NATIONAL ASSOCIATION OF CHARTERBOAT OPERATOS INC,% SUSAN MASON,PO BOX 1070,HURLEY,MS,39555-1070,0000,06,3,2000,200206,2,00,000000000,1,01,202112,4,3,01,0,12,179682,68145,68145,S41,
020626985,TIPPAH COUNTY HISTORICAL MUSEUM INC,% KYLE SMITH,106 N SIDDALL ST,RIPLEY,MS,38663-2036,0000,03,3,1000,200305,1,15,000000000,1,01,202212,2,3,02,0,12,15906,33845,33845,A54,
020643662,FAMILY EMPOWERMENT ZONE INC,% VIRGINIA ROSS,1201 GROVE ST,VICKSBURG,MS,39183-3029,0000,03,3,1235,201809,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P40,
020646721,NOAHS ARK CHRISTIAN CENTER,% DELORES TANNER,PO BOX 465,ISOLA,MS,38754-0465,0000,03,3,2000,200403,1,15,000000000,1,01,202112,4,4,01,0,12,170406,246287,230964,P33,
020648245,CHRISTIAN METHODIST EPISCOPAL CHURCH,,92 AGETST,BYHALIA,MS,38632-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,NICHOLS CHAPEL CME CHURCH
020655846,YARBROUGH,% CRITTLE FINANCIAL,2997 OLD HWY 4 EAST,HOLLY SPRINGS,MS,38635-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,
020667694,KEEP PIKE COUNTY BEAUTIFUL INC,% VICKIE WEBB,PO BOX 2161,MCCOMB,MS,39649-2161,0000,03,3,1200,201111,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,C50,
020702523,MISSISSIPPI LEADERSHIP FORUM,% NICK WALTERS,1817 CRANE RIDGE DRIVE,JACKSON,MS,39216-4979,0000,03,3,2000,201301,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,B30,
020727601,LA LECHE LEAGUE INTERNATIONAL INC,% KATRINA MARTIN,116 LEXINGTON DR,HATTIESBURG,MS,39402-9313,3130,03,9,2100,197902,1,16,059120000,5,01,202203,0,0,02,0,03,0,0,0,Q300,LLL HATTIESBURG DAY
020729811,AMERCIAN LEGION,% JESSE MCDUFFY,PO BOX 813,IUKA,MS,38852-0813,0925,19,9,1000,194603,1,00,907908000,5,01,202112,0,0,02,0,12,0,0,0,,15 TISHOMINGO COUNTY
020739895,JACKSON PROFESSIONAL BEAUTICANS CLUB,% WILLIE J WYNN,4625 NORDELL DR,JACKSON,MS,39206-3347,0000,06,3,1000,200605,2,00,000000000,5,01,202105,0,0,02,0,05,0,0,0,S41,
020749128,CHRISTIAN METHODIST EPISCOPAL CHURCH,% JOE JACKSON,12776 BROOKSVILLE RD,LOUISVILLE,MS,39339-9359,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,LONELY VALLEY CME CHURCH
020761129,IN-TRANSITION MINISTRIES,% CAMILLA RICHARDSON,PO BOX 2151,COLUMBUS,MS,39704-2151,0000,03,3,7000,201608,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
020782702,RAIN DOWN MINISTRIES,% PJ WEEKS,724 HIGHWAY 533,LAUREL,MS,39443-0766,0000,03,3,1700,200707,1,15,000000000,1,01,202112,4,4,01,0,12,282897,477501,363839,X20,
020787550,ONE VOICE,% NSOMBI LAMBRIGHT,1072 J R LYNCH ST STE 7,JACKSON,MS,39203-3352,0000,03,3,1000,200709,1,15,000000000,1,01,202112,7,6,01,0,12,6294038,4517134,4517134,W24,CPRTI
020788414,TUPELO ELVIS PRESLEY FAN CLUB,% WILLIAM LAMAR,PO BOX 856,TUPELO,MS,38802-0856,0000,04,3,1000,200902,2,00,000000000,1,01,202112,3,3,01,0,12,76595,78012,78012,S80,
020793404,ZETA PHI BETA SORORITY,% CHARLOTTE MILLER,PO BOX 1732,KOSCIUSKO,MS,39090-1732,1474,07,9,1000,196001,2,00,036279040,5,01,202212,0,0,02,0,12,0,0,0,,RHO NU ZETA
020793447,ZETA PHI BETA SORORITY,% JOVAUNDA SMITH,PO BOX 386,MENDENHALL,MS,39114-0386,1474,07,9,1000,196001,2,00,036279040,5,01,202112,0,0,02,0,12,0,0,0,,RHO IOTA ZETA
020793476,ZETA PHI BETA SORORITY INC,% GLORIA B CONLEY,60 AZTEC DR,STARKVILLE,MS,39759-2083,1474,07,9,1000,196001,2,00,036279040,5,01,202112,0,0,02,0,12,0,0,0,,PI IOTA ZETA
020798163,XIZETA LAMBDA CHAPTER OF ALPHA PHI ALPHA FRATERNITY INC,% SAM ALSGOOD,PO BOX 283,PASCAGOULA,MS,39568-0283,0000,10,3,1000,200802,2,00,000000000,5,01,201910,0,0,02,0,10,0,0,0,Y42,
020798897,CHRIST TEMPLE OF DELIVERANCE CHURCH OF GOD IN CHRIST,% JESSIE CARTER JR,245 N BEAUCHAMP AVE,GREENVILLE,MS,38703-3323,0000,03,3,7000,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020812143,GULF COAST HOUSING INITIATIVE INC,% SHARON PRESTEMON,1012 DIVISION ST,BILOXI,MS,39530-2968,0000,03,3,1200,200909,1,15,000000000,1,01,202112,5,4,01,0,12,692343,147019,138497,L21,
030382109,TRI-LAKES MEDICAL CENTER AUXILIARY,% DOT WATSON,1826 HENTZ RD,COURTLAND,MS,38620-9744,0000,03,3,1000,200205,1,15,000000000,5,01,202203,0,0,02,0,03,0,0,0,E11,
030391948,SHAMMAH MINISTRIES INTERNATIONAL,,3383 SHAMMA DR,TUPELO,MS,38801-0000,0000,03,3,1700,201502,1,10,000000000,1,01,,0,0,06,0,12,,,,W19,
030397952,LEESBURG VOLUNTEER FIRE DEPARTMENT,,435 HIGHWAY 481,PELAHATCHIE,MS,39145-4086,0000,03,3,1000,201505,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,S32,
030398541,RAINBOW LEARNING CENTER INC,% MINERVA B GRAHAM,706 S CENTRAL AVE,NEW ALBANY,MS,38652-3707,0000,03,3,1200,200402,1,16,000000000,1,01,202112,4,5,01,0,12,152495,638429,638429,P33,
030400306,FIRST BAPTIST CHURCH OF LONGVIEW,% LARNZY CARPENTER,976 LONGVIEW RD,STARKVILLE,MS,39759-4913,0000,03,3,7000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
030414912,MARS HILL VFD,% GENE NUNNERY,6070 N GREENSBURG RD,SUMMIT,MS,39666-0000,0000,03,3,1000,201603,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,M24,
