EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,% RISK MANAGEMENT SECTION,547 S 7TH ST SUITE 184,BISMARCK,ND,58504-5859,0000,03,3,1000,199901,1,16,998000000,5,01,202212,4,4,01,0,12,441955,298940,298940,W03,
010525386,BLUE KNIGHTS,,PO BOX 12462,GRAND FORKS,ND,58208-2462,0000,10,3,1000,201301,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,Y42,NDI
010575746,SAINT GIANNAS HOME INC,% MARY PAT JAHNER,15605 COUNTY ROAD 15,MINTO,ND,58261-9476,0000,03,3,1200,200207,1,15,000000000,1,01,202212,6,6,01,0,12,2038963,1193253,1047422,P40,
010587620,ABUNDANT FAITH MINISTRIES,,PO BOX 181,LANGDON,ND,58249-0181,2763,03,9,7000,197707,1,10,000000000,0,01,,0,0,06,0,04,,,,,REV LINWOOD W HEIRONIMUS JR
010589927,MINOT COMMUNITY FOUNDATION,% MINOT COMMUNITY FOUNDATION,606 BURDICK EXPRESSWAY W STE A,MINOT,ND,58701-4218,0000,03,3,1000,200205,1,17,928000000,1,01,202312,8,7,01,0,12,38026246,9112072,1764176,S20,
010655717,PETTIBONE FIRE PROTECTION DISTRICT,% NOLAN TRIPP,1380 44TH AVE SE,PETTIBONE,ND,58475-9312,0000,03,3,1000,202309,1,16,000000000,1,01,,0,0,02,0,12,,,,M24,
010698137,NATIONAL FEDERATION OF MUSIC CLUBS,% KATHY HOMAN,8651 48TH ST NE,DEVILS LAKE,ND,58301-9558,3832,03,9,2000,200202,1,16,000000000,5,01,202306,0,0,02,0,06,0,0,0,A68,DEVILS LAKE MUSIC CLUB
010746351,FOUNDATION FOR LIFE ENRICHMENT INC,% STANLEY WRIGHT,PO BOX 628,STANLEY,ND,58784-0628,0000,03,3,1000,201504,1,15,000000000,1,01,202312,4,3,01,0,12,378571,65647,65647,B99,
010847026,LITCHVILLE COMMUNITY CENTER INC,% NORMA MIEDEMA,5739 110TH AVE SE,LITCHVILLE,ND,58461-9628,0000,03,3,1200,200603,1,15,000000000,1,01,202306,0,0,02,0,06,0,0,0,P28,
010868557,GRAND FORKS DOG TRAINING CLUB INC,% LEE ANDERSON,707 22ND AVE S,GRAND FORKS,ND,58201-6943,0000,03,3,1240,201410,1,16,000000000,1,01,202312,3,3,02,0,12,48785,47124,46174,D61,
010918429,FIRE AND IRON MOTORCYCLE CLUB,% SEAN ROED,906 6TH ST NE,DEVILS LAKE,ND,58301-6202,0000,03,3,1200,202302,1,04,000000000,1,01,,0,0,00,1,12,,,,B12,
010937032,BOTTINEAU COUNTY 4H,,9453 8TH AVE NE,BOTTINEAU,ND,58318-7220,0000,03,3,2000,202312,1,16,000000000,1,01,,0,0,02,0,12,,,,,
010950389,NORTHWEST LANDOWNERS ASSOCIATION,% ROBERT N GRANT,6050 OLD HIGHWAY 2,BERTHOLD,ND,58718-9007,0000,06,3,2000,201202,2,00,000000000,1,01,202312,3,4,01,0,12,49418,134920,134920,S41,
010968114,GLENBURN SENIOR CITIZENS INC,,PO BOX 124,GLENBURN,ND,58740-0124,0000,04,3,3000,201411,2,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,S21,
020569393,INDO-AMERICAN ASSOCIATION OF GREAT PLAINS,% PANJINI SIVANNA,3120Z 25TH STREET S 211,FARGO,ND,58103-5054,0000,03,3,1000,200307,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,A20,
020592926,FRIENDS OF THE KINDRED PUBLIC LIBRARY,% LISA ANDERSON,PO BOX 63,KINDRED,ND,58051-0063,0000,03,3,1200,200207,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,B11,
020735781,CANDO AREA FOOD PANTRY,% DAVID BENSON,PO BOX 576,CANDO,ND,58324-0576,0000,03,3,1000,200601,1,15,000000000,1,01,202303,0,0,02,0,03,0,0,0,K31,CAFP
020752258,BERTHOLD SPORTSMEN CLUB INC,% JOE LAUTENSCHLAGER,PO BOX 65,BERTHOLD,ND,58718-0065,0000,03,3,2100,200605,1,16,000000000,1,01,202312,3,4,01,0,12,54744,108392,15825,C30,
020755227,UNITED STATES BOWLING CONGRESS INC,% DAVID ROBERTS,204 1ST AVE S,NEW ROCKFORD,ND,58356-0000,4348,03,9,1000,200409,1,16,000000000,1,01,202307,0,0,02,0,07,0,0,0,N70,80833 NEW ROCKFORD USBC
020807366,MARION FIRE DEPARTMENT,% JON ALBER,PO BOX 9,MARION,ND,58466-0009,0000,03,3,1000,200711,1,15,000000000,1,01,202312,4,3,01,0,12,194898,51140,51140,M24,
030491064,FRIENDS OF THE DAKOTA PRAIRIE TRAIL,% LORI MATTHEIS,PO BOX 70,ELLENDALE,ND,58436-0070,0000,03,3,1000,201609,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,N32,DOKOTA PRAIRIE TRAIL
030522500,SPIRIT ROOM,% MAUREEN KELLY JONASON,111 BROADWAY,FARGO,ND,58102-0000,0000,03,3,1000,200408,1,15,000000000,1,01,202212,2,3,01,0,12,17009,75415,75415,A99,
030587770,UNITED STEELWORKERS,% TONY SLETTEN,PO BOX 134,HEBRON,ND,58638-0134,0260,05,9,3000,194012,2,00,000000000,5,01,202312,0,0,02,0,12,0,0,0,,901 LOCAL
040557600,GREATER FAITH MINISTRIES INC,% OVERSEER ISIAH JONES & PASTOR PAM,2204 LANDMARK CIR NW,MINOT,ND,58703-1895,4292,03,9,7000,200405,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
042078360,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% ARLEN FETCH,PO BOX 74,MANDAN,ND,58554-0074,0239,04,9,3000,194012,2,00,911520000,5,01,202306,0,0,02,0,06,0,0,0,,078360 DACOTAH MANDAN LIONS CLUB
043435701,COMMUNITY CHRISTIAN COUNSELING CENTER INC,% WILLIAM PERRY,202 10TH ST NW,HAZEN,ND,58545-4852,0000,03,3,7000,199911,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043650225,ROUGH RIDER SNOWMOBILE ASSN INC,% VERN VETTER,PO BOX 4162,BISMARCK,ND,58502-4162,0000,03,3,1000,201507,1,15,000000000,1,01,202306,0,0,02,0,06,0,0,0,N68,
043739333,BIRDING DRIVES DAKOTA,% ANN HOFFERT,871 MAIN ST,CARRINGTON,ND,58421-1257,0000,03,3,1200,200311,1,15,000000000,1,01,202109,0,0,02,0,09,0,0,0,P20,
043767733,EVANGELICAL BIBLE CHURCH,% ELROY MARCUSEN,2891 5TH AVE W,DICKINSON,ND,58601-2629,0000,03,3,7000,202207,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043815054,KNIGHT MASONS OF THE USA,% LON W KVASAGER,PO BOX 1568,FARGO,ND,58107-1568,3006,10,9,1000,197608,2,00,260000000,5,01,202312,0,0,02,0,12,0,0,0,,90 NORTH DAKOTA
043829150,UNITED STATES BOWLING CONGRESS INC,% BRENDA MORITZ,PO BOX 1436,JAMESTOWN,ND,58402-1436,4348,03,9,1000,200409,1,16,000000000,1,01,202107,0,0,02,0,07,0,0,0,N70,86555 JAMESTOWN USBC
050533124,ACTION AGILITY DOG TRAINING CLUB,% KRISTI FREDRIKSEN,5300 19TH AVE NW,MINOT,ND,58703-8726,0000,03,3,1000,200411,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,D61,
050553488,MATT AND JOANN BUTLER FOUNDATION,% MATTHEW D BUTLER,7606 40TH AVE N,FARGO,ND,58102-6604,0000,03,3,1000,200310,1,04,000000000,1,01,202212,8,8,00,1,12,10940248,14246886,,T22,
050627253,SUSTAINABLE DEVELOPMENT FOR THE UNDER PRIVILEGED INC,% ESTHER OMOTUNDE,116 OAK RIDGE PL,PARK RIVER,ND,58270-5101,0000,03,3,1000,200707,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,E70,
061749911,SAINT ANTHONY CEMETARY PERPETUAL CARE FUND,% DONALD E GREGOIRE,7549 60TH AVE NW,DONNYBROOK,ND,58734-9501,0000,13,3,1000,200701,1,00,000000000,1,01,202312,0,0,02,0,12,0,0,0,Y50,
061835027,DAKOTA STAR GYMNASTICS,,111 OLD RED TRL NE,MANDAN,ND,58554-5300,0000,03,3,2000,200904,1,16,000000000,1,01,202212,4,4,01,0,12,280169,405043,378831,N60,
113666663,RE ARENA INC,,1 RALPH ENGELSTAD ARENA DR,GRAND FORKS,ND,58203-2205,0000,03,3,2000,200310,1,17,000000000,1,01,202305,8,0,02,0,05,14729757,0,0,B99,
113686120,COAL COUNTRY COMMUNITY HEALTH CENTER,% DARROLD BERTSCH,1312 HIGHWAY 49 N,BEULAH,ND,58523-6038,0000,03,3,1000,200412,1,15,000000000,1,01,202304,8,8,01,0,04,17189852,16373356,16373356,E20,
113693935,NORTH DAKOTA FARMERS UNION EDUCATIONAL FOUNDATION,% MARK WATNE,1415 12TH AVE SE,JAMESTOWN,ND,58401-5956,0000,03,3,2000,200312,1,17,000000000,1,01,202309,6,4,01,0,09,1872460,385728,281266,K11,
113799614,TRUE LIGHT BROADCASTING INC,% HOWARD LIEN,406 31ST AVE SE LOT 412,MINOT,ND,58701-7190,0000,03,3,2700,201805,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,X84,
113821329,PRAIRIE PAWS RESCUE,% KAYE JOHN,PO BOX 1114,JAMESTOWN,ND,58402-0000,0000,03,3,1000,200809,1,15,000000000,1,01,202306,4,3,02,0,06,289664,49495,49495,D20,
113831617,PRAIRIE TABLE MINISTRIES,,905 ALBERTA AVE,BISMARCK,ND,58503-5501,9386,03,9,7000,198804,1,10,000000000,1,01,,0,0,06,0,12,,,,,
113838161,AMERICAN LEGION AUXILIARY,% JUDY TWETE,PO BOX 389,MCVILLE,ND,58254-0000,0964,19,9,1000,194610,2,00,319907000,5,01,202309,0,0,02,0,09,0,0,0,,0135 OLE SEMLING UNIT
133773369,ASSOCIATION FOR COMPUTING MACHINERY,% STREIBEL HALL 200,PO BOX 9015,GRAND FORKS,ND,58202-9015,1931,03,9,2800,196805,1,16,059205279,5,01,,0,0,02,0,06,,,,,UNIV OF ND CENTER FOR AEROSPACE SCI
134323549,ARDOCH CEMETERY ASSOCIATION,% KEITH AND LORRAINE LEESON,524 NORTH 17TH STREET 6,GRAND FORKS,ND,58203-3085,0000,04,3,1000,200609,2,00,000000000,2,01,202312,0,0,02,0,12,0,0,0,Y50,
134360222,JOSHUAS TREE HOUSE,% NORMAN HAASE,401 5TH AVE W,WILLISTON,ND,58801-5006,0000,03,3,2000,201408,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,L41,
134369207,AMERICAN LEGION AUXILIARY,% ORLETTA KILEN,PO BOX 158,ALMONT,ND,58520-0158,0964,19,9,1000,194610,1,00,319907000,5,01,202312,0,0,02,0,12,0,0,0,,261 ALMONT
141842061,LINTON HOSPITAL FOUNDATION,% DEBORAH IBACH,502 BROADWAY ST N,LINTON,ND,58552-7307,0000,03,3,1000,200211,1,15,000000000,1,01,202303,5,4,01,0,03,618805,239279,238279,E112,
141846178,UND ARENA SERVICES INC,% GATE CITY FEDERAL BLDG,1 RALPH ENGELSTAD ARENA DR,GRAND FORKS,ND,58203-2205,0000,03,3,2000,200310,1,17,000000000,1,01,202305,7,5,01,0,05,5269133,601790,601790,B99,
141916561,NORTH STARS YOUTH HOCKEY ASSOCIATION INC,% DAVE HILLS,PO BOX 54,GRAFTON,ND,58237-0054,0000,03,3,1200,200702,1,16,000000000,1,01,202312,4,4,01,0,12,105912,371682,336085,N68,
141921911,CHRISTINE COMMUNITY CENTER,,PO BOX 1241,CHRISTINE,ND,58015-1241,0000,03,3,1000,200503,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,S20,
141937538,UNITED STATES BOWLING CONGRESS INC,% LORRAINE PAHL,100 4TH ST N,ELLENDALE,ND,58436-7502,4348,03,9,1000,200409,1,16,000000000,1,01,202307,0,0,02,0,07,0,0,0,N70,80852 ELLENBALE USBC
141999152,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% STEPHANIE L NESS,315 30TH AVE N APT 10,FARGO,ND,58102-1567,0194,05,9,3000,194010,2,00,263269265,5,01,202312,0,0,02,0,12,0,0,0,,3748 AFGE USDA LOCAL
142014514,ICE COLD RYDERS MC,% LASHONE L BROWN,7115 2ND AVE W,MINOT,ND,58701-0000,0000,03,3,1000,201704,1,15,000000000,1,01,202212,1,3,01,0,12,2283,56098,56098,T12,
161622260,MOTT VOLUNTEER FIRE BRIGADE,% DEREK MAYER,301 E 5TH ST,MOTT,ND,58646-7287,0000,03,3,1000,200307,1,16,000000000,1,01,202312,4,4,01,0,12,168071,358392,166369,M24,
161717397,CHINESE CHRISTIAN MINISTRY,% BONNIE FOSS,1011 12TH AVE N,FARGO,ND,58102-3527,0000,03,3,1000,200601,1,15,000000000,1,01,,0,0,00,0,12,,,,P20,
161742383,MINOT OPERATION WARMHEART,% JUSTIN MCGOVERN,PO BOX 8030,MINOT AFB,ND,58704-0000,0000,03,3,1000,200607,1,16,000000000,5,01,202312,0,0,02,0,12,0,0,0,W30,
161766504,SOUTHEAST BAPTIST CHURCH,% STEVEN DEAN,8363 HIGHWAY 1,OAKES,ND,58474-9722,0000,03,3,7000,200704,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
