EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010658759,BURLINGTON CAPITAL FOUNDATION,% M L SULLIVAN,1004 FARNAM ST STE 400,OMAHA,NE,68102-1885,0000,03,3,1000,200205,1,04,000000000,1,01,202112,6,1,00,1,12,2113677,4601,,T21,
010741330,OMAHA HOCKEY HALL OF FAME,% GARY ANDERSON,3515 N 205TH ST,ELKHORN,NE,68022-4715,0000,03,3,1200,200403,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,T20,
010751719,GREAT PLAINS CHAPTER OF ASSOCIATION OF CLINICAL RESEARCH PROFESSIONALS,,15666 LAMP CIR,OMAHA,NE,68118-2038,0000,03,3,2800,201906,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,B03,
010780152,OMAHA TENNIS ASSOCIATION DEVELOPMENT FUND,% OTA DEVELOPMENT FUND,18103 MAYBERRY ST,ELKHORN,NE,68022-5704,0000,03,3,1000,200607,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,N66,
010789297,TEMPLO FUENTE DE VIDA,,1020 E 8TH ST,SCOTTSBLUFF,NE,69361-3707,2197,03,9,7000,197109,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010794555,OMAHA PHONICS ALL STARS INC,% JOHN LATENSER,PO BOX 24985,OMAHA,NE,68124-0985,0000,03,3,1000,200812,1,15,000000000,1,01,,0,0,00,0,12,,,,B99,
010803924,HEARTLAND LUTHERAN HIGH SCHOOL FOUNDATION,% CURTIS FISCHER,3900 W HUSKER HWY,GRAND ISLAND,NE,68803-6001,0000,03,3,1700,200403,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,B82,
010821714,NEBRASKA RURAL LETTER CARRIERS AUXILIARY,% DEE SHORT,2007 DIANE ST,PAPILLION,NE,68046-8023,0000,03,3,2000,201712,1,15,000000000,5,01,202206,0,0,02,0,06,0,0,0,B82,
010827441,ASHLAND DOG POUND FOUNDATION,% DORIS DELESKI,305 N 16TH ST,ASHLAND,NE,68003-1720,0000,03,3,1000,200506,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,D20,
010906791,GRETNA POST PROM COMMITTEE,% PAUL GOLDENSTEIN,920 VILLAGE SQ,GRETNA,NE,68028-7854,0000,03,3,1000,200811,1,15,000000000,1,01,202205,3,3,01,0,05,49288,83392,83392,B94,
010909436,DISABLED AMERICAN VETERANS AUXILIARY INC,% JUDY WORKMAN,PO BOX 814,KEARNEY,NE,68848-0814,2473,04,9,1000,197310,2,00,908921000,5,01,202206,0,0,02,0,06,0,0,0,,41 CUSTER UNIT
010915911,PRAISE CHAPEL LINCOLN NEBRASKA,% DAVID BURROWS,3500 N 11TH ST,LINCOLN,NE,68521-2517,3559,03,9,7000,199508,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
