EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010158946,SIGMA DELTA SORORITY,% CAROLINE ALLAN,DARTMOUTH COLLEGE 5221 HINMAN,HANOVER,NH,03755-0000,0000,07,3,1000,199508,2,00,036000000,5,01,202106,3,2,02,0,06,70994,22405,22405,,
010174648,ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,,5 METROPOLITAN AVE,NASHUA,NH,03064-1649,0005,08,6,1000,194005,1,00,036000000,5,01,202109,5,6,01,0,09,989433,2675525,162470,,
010188907,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,% DONNA MERRILL,34 COMMERCIAL DR,BRENTWOOD,NH,03833-6630,0444,05,9,3000,194107,2,00,263264000,5,01,202212,0,0,02,0,12,0,0,0,,1468 LOCAL PAINTERS UNION
010286071,KAPPA DELTA PHI INC,,380 LAFAYETTE RD UNIT 11 # 334,SEABROOK,NH,03874-4559,2047,07,6,1000,196911,2,00,059036040,1,01,201908,3,3,01,0,08,84847,81715,81715,,
010286541,MAINE DENTAL SERVICE CORPORATION,,PO BOX 2002,CONCORD,NH,03302-2002,0000,04,3,3000,197007,2,00,179211000,1,01,202112,9,9,01,0,12,78079521,162306603,148164665,,
010340501,COE-BROWN NORTHWOOD ACADEMY,% NANCY EDMUNDS,907 FIRST NH TURNPIKE,NORTHWOOD,NH,03261-3201,0000,03,3,1000,201206,1,16,000000000,1,01,202107,0,0,02,0,07,0,0,0,B84,
010349012,LA LECHE LEAGUE INTERNATIONAL INC,% SARAH RUSSELL,36 MEADOW LN,ROCHESTER,NH,03867-5017,3130,03,9,2000,197902,1,16,059120000,5,01,202203,0,0,02,0,03,0,0,0,,LLL MAINE-NEW HAMPSHIRE
010361086,EASTERN REGIONAL ASSOCIATION OF ADVENT CHRISTIAN CHURCHES,,32 FOUR ROD RD,ROCHESTER,NH,03867-4269,1428,03,9,7000,195809,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010412164,GULF OF MAINE MARINE EDUCATION ASSOCIATION,% SARA ELLIS,8 JAMES FARM RD,LEE,NH,03861-6528,0000,03,3,2000,201908,1,15,123120124,1,01,202209,0,0,02,0,09,0,0,0,B01,
010454657,MOUNTAIN MEADOW RIDERS SNOWMOBILE CLUB,% ROGER J CYR JR TR,PO BOX 342,CONWAY,NH,03818-0342,0000,07,3,1000,201309,2,00,000000000,1,01,202206,0,0,02,0,06,0,0,0,N63,
010456905,VOICE FOR ANIMALS INC,% CARYL L MCINTIRE EDWARDS,14 GOLDEN CIRCLE DR,FARMINGTON,NH,03835-3828,0000,03,3,1000,199404,1,15,913000000,1,01,202112,2,1,02,0,12,12574,1542,1542,D200,
010461053,KIWANIS INTERNATIONAL INC,% CAROLYN PATTON,PO BOX 667,PORTSMOUTH,NH,03802-0100,0026,04,9,1300,194007,2,00,040042000,5,01,202209,0,0,02,0,09,0,0,0,,K11620 SEACOAST PORTSMOUTH
010477341,NORTHERN NEW ENGLAND SOCIETY OF ENROLLED AGENTS,% DON S STOHL,141 MAIN STREET SUITE 2,COLEBROOK,NH,03576-3069,0000,06,3,2000,199610,2,00,205000000,1,01,202206,0,0,02,0,06,0,0,0,,
010500019,PORTER LAKE ASSOCIATION,% HUGH ROONEY,5 COLLINS CT,PLAISTOW,NH,03865-2555,0000,03,3,1200,200611,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,C32,
010502623,NEW ENGLAND ALPACA OWNERS & BREEDERS ASSOC,,294 WALNUT ST,ROCHESTER,NH,03867-4270,0000,05,3,1000,200204,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,K26,
010516157,FRIENDS OF VOICES FROM THE HEART,% JOANNE CONNOLLY,PO BOX 926,PORTSMOUTH,NH,03802-0926,0000,03,3,1000,200610,1,16,000000000,1,01,202208,0,0,02,0,08,0,0,0,K31,
010516202,GRANATE STATE SHETLAND SHEEPDOG CLUB OF SOUTHEAST NH INC,% CYNTHIA WEBSTER,53 WADLEIGH POINT RD,KINGSTON,NH,03848-3244,0000,07,3,1000,201007,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,N50,
010516518,BLUE KNIGHTS MOTORCYCLE CLUB,,PO BOX 106,BELMONT,NH,03220-0106,9222,10,9,1000,198909,2,00,260000000,1,01,202112,0,0,02,0,12,0,0,0,,NH IV
010538528,THE SEACOAST DIVISION OF THE NMRA,,1 ANNES LN,GREENLAND,NH,03840-2201,0000,03,3,2000,202007,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,T50,
010561381,LYNCH FAM CHARITABLE FOUNDATION,% WILLIAM STEELE & ASSOCIATES,2 WATCHTOWER RD,HOPKINTON,NH,03229-2819,0000,03,3,1000,200211,1,04,000000000,1,01,202212,6,6,00,1,12,3503638,1459877,,T20,LYNCH JOHN H TTEE
010563728,COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,% DOVER HOUSING AUTHORITY,62 WHITTIER ST,DOVER,NH,03820-2946,0000,03,3,1000,200208,1,15,000000000,1,01,202112,6,4,01,0,12,1194370,201180,201180,L20,
010568516,CMC HEALTHCARE SYSTEM,% ALYSON PITMAN GILES,100 MCGREGOR ST,MANCHESTER,NH,03102-3730,0928,03,9,1000,194603,1,17,031150120,5,01,202109,1,0,02,0,09,1,0,0,,
010573568,WHITE MOUNTAIN GATEWAY ECONOMIC DEVELOPMENT CORPORATION,% SHARON YEATON,579 TENNEY MTN HWY,PLYMOUTH,NH,03264-3147,0000,04,3,3000,200306,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,S30,
010581780,BROOKLINE HOLLIS YOUTH SOCCER LEAGUE,% WAYNE PINEAU,PO BOX 551,HOLLIS,NH,03049-0551,0000,03,3,1000,200503,1,16,000000000,1,01,202206,0,0,02,0,06,0,0,0,N64,
010593775,DOVER HIGH SCHOOL BOYS BASKETBALL BOOSTERS,% ATHLETIC DIRECTOR,25 ALUMNI DR,DOVER,NH,03820-4367,0000,03,3,1000,201303,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,B19,
010598175,FRIENDS OF THE MINOT SLEEPER LIBRARY,% BONNIE MAEHR,35 PLEASANT ST,BRISTOL,NH,03222-3002,0000,03,3,1200,200707,1,16,000000000,1,01,202112,2,1,02,0,12,19003,4613,4613,B11,
010632051,TOWN OF NEW LONDON BANDSTAND COMMITTEE INC,% P A VESILIND,PO BOX 341,NEW LONDON,NH,03257-0341,0000,03,3,2000,200409,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,A69,
010645263,HOLLIS YOUTH HOCKEY ASSOCIATION,% FRANCIS X CONNOLLY,61 MUSKET DR,NASHUA,NH,03062-1442,0000,03,3,1200,200206,1,16,000000000,1,01,202303,0,0,02,0,03,0,0,0,N68,
010656986,SURF CLUB OF RYE INC,% RICHARD W GREEN,PO BOX 1148,HAMPTON,NH,03843-1148,0000,07,3,1000,200306,2,00,000000000,1,01,202212,6,5,01,0,12,3711035,696184,660617,N50,
010663221,MEDICAL MISSION EXCHANGE,% PAUL W GERKE,24 COURTYARD,HANOVER,NH,03755-1551,0000,03,3,1200,200301,1,04,000000000,1,01,202112,1,1,00,1,12,2787,7243,,E02,
010675353,NH THEATRE FACTORY,% CONSTANCE GREENHILL,661 PINE STREET,MANCHESTER,NH,03104-3994,0000,03,3,1000,200301,1,16,000000000,1,01,202006,0,0,02,0,06,0,0,0,A65,
010681629,THE ALCHEMISTS,% TOM DUNN,PO BOX 658,HENNIKER,NH,03242-0658,0000,03,3,1000,200301,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,A65,
010694632,SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH SAFE HAVEN,% DOVER HOUSING AUTHORITY,62 WHITTIER ST,DOVER,NH,03820-2994,0000,03,3,1200,200210,1,15,000000000,1,01,202206,4,4,01,0,06,160479,333156,324821,P30,
010712416,GRANITE STATE AREA NARCOTICS ANONYMOUS INC,% ALAN DAVIDSON,C/O J GALLANT 215 BRIDGE ST,MANCHESTER,NH,03104-0000,0000,03,3,2100,200209,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,F20,
010726864,TAU BETA PI ASSOCIATION INC,% DOUGLAS W VAN CITTERS,15 THAYER DR,HANOVER,NH,03755-4404,0782,07,9,1000,194501,2,00,036000000,5,01,202212,0,0,02,0,12,0,0,0,,NEW HAMPSHIRE BETA CHAPTER
010742001,MANCHESTER COMMUNITY RESOURCE CENTER INC,,434 LAKE AVE,MANCHESTER,NH,03103-4271,0000,03,3,1000,200209,1,15,000000000,1,01,202206,4,5,01,0,06,241823,850727,850727,P20,
010749557,THE FIRST TEE OF NEW HAMPSHIRE INC,% CHRISTOPHER SARGENT,22 NORTH RD,NORTH HAMPTON,NH,03862-2219,0000,03,3,1200,200304,1,16,000000000,1,01,202112,4,4,01,0,12,266153,292876,253996,N6A,FIRST TEE OF NEW HAMPSHIRE
010750403,INDEPENDENT COMMUNITY BASKETBALL,% TRACY M HUCKINS,PO BOX 6574,PENACOOK,NH,03303-6574,0000,03,3,1000,201103,1,15,000000000,5,01,202006,0,0,02,0,06,0,0,0,N62,MICHELLE SALVATORE
010759946,TOASTMASTERS INTERNATIONAL,% WHITE MOUNTAIN TOASTMASTERS CLUB,32 HAROLD AVERY RD,ASHLAND,NH,03217-4444,0820,03,9,2000,194505,1,16,059319000,1,01,202212,0,0,02,0,12,0,0,0,,5122 WHITE MOUNTAIN TOASTMASTERS CL
010767520,VETERANS FOR PEACE INC,% WILLIAM THOMAS,27 MARGATE DR,AUBURN,NH,03032-3744,9168,03,9,1000,198808,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,,62 AUBURN NH
