EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010565518,DESERT LIGHT CHRISTIAN CHURCH,,541 UTAH ST NE,ALBUQUERQUE,NM,87108-2491,0000,03,3,7000,200306,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010576324,STEVAN & CYNTHIA PEARCE CHARITABLE FOUNDATION,% STEVAN PEARCE,PO BOX 1830,HOBBS,NM,88241-1830,0000,03,3,2000,200305,1,04,000000000,1,01,202412,6,4,00,1,12,1358253,110350,,T30,
010592052,LIFE FOUNDATION MINISTRIES,% JAMES HUMPAL,712 VISTA PATRON,BERNALILLO,NM,87004-5319,0000,03,3,1000,200312,1,15,000000000,3,01,202412,0,0,02,0,12,0,0,0,X990,
010598548,WATERFALL COMMUNITY WATER USERS ASSOCIATION,% RONALD H WRIGHT,18 WATERFALL DR,CLOUDCROFT,NM,88317-9206,0000,12,3,1000,201407,2,00,000000000,1,01,202405,3,3,01,0,05,55482,83900,83900,W80,
010614084,CAVERN CITY CHURCH OF CHRIST,,PO BOX 1941,CARLSBAD,NM,88221-1941,0000,03,3,7100,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X212,
010659973,ABIDING IN CHRIST MINISTRIES INC,% STUART COLEMAN,2108 MARIE PARK DR NE,ALBUQUERQUE,NM,87112-3639,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010672526,VOLUNTEER TASK FORCE INC,% CRAIG MARTIN,3100 ARIZONA AVE,LOS ALAMOS,NM,87544-1516,0000,03,3,1200,200211,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,C34,
010720459,LOS PUEBLOS COMMUNITY COUNCIL,,PO BOX 593,RIBERA,NM,87560-0593,0000,03,3,1000,202006,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,T19,
010734317,FRIENDS OF JEMEZ SPRINGS PUBLIC LIBRARY,% SUSAN DONOVAN,PO BOX 16,JEMEZ SPRINGS,NM,87025-0016,0000,03,3,1000,200403,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,B70,
010776195,DEMING ANIMAL GUARDIANS,% DIANA L BELL,PO BOX 1275,DEMING,NM,88031-1275,0000,03,3,4000,200710,1,15,000000000,1,01,202412,4,4,01,0,12,136452,203671,203671,D20,
010780925,ROSWELL CHRISTIAN CENTER INC,% JERRY CHAPMAN,109 E CHARLESTON RD,ROSWELL,NM,88203-0803,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010814995,ROTARY SOUTH VALLEY CHARITIES,% GARRETT HENNESSY,3150 CARLISLE BLVD NE STE 211,ALBUQUERQUE,NM,87110-1689,0000,03,3,1000,200408,1,15,000000000,1,01,202206,3,3,01,0,06,70122,66505,46513,T30,
010815203,NEW BEGINNINGS CHURCH OF GOD,% RICHARD A MANSFIELD,4770 MONTGOMERY BLVD NE STE B110,ALBUQUERQUE,NM,87109-1241,1489,03,9,7000,196007,1,10,001268000,1,01,,0,0,06,0,12,,,,,
010823486,LA CUEVA BAND BOOSTERS,% JACQUELYN HAASE,8100 WYOMING BLVD NE M4 BOX 429,ALBUQUERQUE,NM,87113-1963,0000,03,3,1000,200507,1,16,000000000,1,01,202405,0,0,02,0,05,0,0,0,B112,
010826253,CALVARY CHAPEL OF DEMING,% MARSHALL J BOYER,403 YUCCA DR,DEMING,NM,88030-7040,0000,03,3,7000,200509,1,10,000000000,1,01,,0,0,06,0,12,,,,X19,
010840366,ELDORADO CHILDRENS THEATRE,% ELISE A LINCOLN,13 MELADO DR,SANTA FE,NM,87508-2255,0000,03,3,1000,200511,1,16,000000000,1,01,202406,0,0,02,0,06,0,0,0,A65,
010848333,OJITOS FRIOS RANCHES HOMEOWNERS ASSOCIATION UNIT 1,% RHONDA STOKES,244 COYOTE RD,LAS VEGAS,NM,87701-0000,0000,04,3,3000,200712,2,00,000000000,1,01,202405,0,0,02,0,05,0,0,0,L50,
010848334,THE STORYDANCER PROJECT INC,% CHARA NELSON,369 MONTEZUMA AVE 490,SANTA FE,NM,87501-2835,0000,03,3,1000,200603,1,15,000000000,1,01,202412,3,4,01,0,12,77135,133056,133056,A99,
010865245,ROADRUNNER REGION PORSCHE CLUB OF AMERICA INC,% ROADRUNNER REGION PCA,PO BOX 92113,ALBUQUERQUE,NM,87199-2113,0000,07,3,1000,200702,2,00,000000000,5,01,202412,3,3,02,0,12,37235,32250,32026,N50,
010869701,CENTER FOR CIVIC POLICY,% ELI IL YONG LEE,PO BOX 27616,ALBUQUERQUE,NM,87125-7616,0000,03,3,1200,200710,1,15,000000000,1,01,202406,8,6,01,0,06,12237900,4149586,4149586,W05,
