EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010478124,NEW ENGLAND SECTION OF THE NINETY-NINES INC,% LORENA PLOURD,PO BOX 950374,OKLAHOMA CITY,OK,73195-0374,9220,03,9,1200,199210,1,16,123040603,5,01,202205,0,0,02,0,05,0,0,0,,KATAHDIN WINGS CHAPTER
010534483,COVENANT CHAPEL,% REV JANE E DIBDEN SCHWAB,PO BOX 312,FORGAN,OK,73938-0312,1619,03,9,7000,196402,1,10,001030059,5,01,,0,0,06,0,12,,,,,
010576406,ALSUM MISSIONARY BAPTISE CHURCH INC,,2443 N PEORIA AVE,TULSA,OK,74106-3944,0000,03,3,7000,200202,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010598137,THELMA GAYLORD LYRIC THEATRE ENDOWMENT FUND INC,% MARK A ROBERTSON,1727 NW 16TH ST,OKLAHOMA CITY,OK,73106-2067,0000,03,3,2000,200402,1,17,000000000,1,01,202112,7,4,01,0,12,5373190,144837,144837,A11,
010602578,VISION 21 LEARNING CENTER INC,,8730 S LYNN LANE RD,BROKEN ARROW,OK,74012-9614,0000,03,3,1000,200207,1,16,000000000,1,01,202012,3,3,01,0,12,52517,98730,98730,P33,
010603214,SAINT FRANCIS HOSPITAL SOUTH LLC,% DEBORAH DAGE,6600 S YALE AVE STE 400,TULSA,OK,74136-3319,0000,03,3,1000,200801,1,12,000000000,1,01,202106,9,9,01,0,06,114076778,197066895,195396354,E20,HEART HOSPITAL OF SAINT FRANCIS
010608540,SHEPHERDS OF LOVE MINISTRIES INC,% TERESA K ROUNTREE,1620 WHISPERING CREEK CT,EDMOND,OK,73013-2732,0000,03,3,1000,200304,1,15,000000000,1,01,202112,4,4,01,0,12,124156,219550,219550,P20,
010617497,OPERATION BLESSING INC,% RON FRAZIER,PO BOX 107,PERRY,OK,73077-0107,0000,03,3,1000,200404,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,P60,
010623235,LA SOCIETE DE FEMME NATIONALE INC,% BARBERA HUGHES,6320 NW TAYLOR AVE,LAWTON,OK,73505-2835,0925,19,9,1000,194603,1,00,907908000,5,01,202112,0,0,02,0,12,0,0,0,,616 OKLAHOMA
010633010,NEW HOPE ASSEMBLY OF GOD INC,% DARREN DIX,110 W 58TH ST S,MUSKOGEE,OK,74401-9014,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
010657169,CACHE SCHOOL EDUCATION FOUNDATION,% EDDIE DABNEY,PO BOX 628,CACHE,OK,73527-0628,0000,03,3,1000,200212,1,16,000000000,1,01,202206,0,0,02,0,06,0,0,0,T20,
010660182,CHRISTIAN MENTORING INC,% MARK JACKSON,6774 E 66TH PL,TULSA,OK,74133-1701,0000,03,3,1000,200210,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,F60,
010664155,GREAT PLAINS CHAPTER-SHRM,% SANDRA POCO WATCHIT,PO BOX 6544,LAWTON,OK,73506-0544,0000,06,3,2000,200401,2,00,000000000,1,01,202212,0,0,02,0,12,0,0,0,S41,
010665303,LUTHERAN CHURCH OF THE PRINCE OF PEACE,% SIDNEY FLACK PASTOR,PO BOX 6006,TULSA,OK,74148-0006,9386,03,9,7000,198804,1,10,000000000,1,01,,0,0,06,0,12,,,,,
010667694,FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA INC,,610 E 24TH ST,TISHOMINGO,OK,73460-3245,0000,03,3,1000,200209,1,15,000000000,1,01,202112,8,8,01,0,12,12473767,14623458,14623458,E30,
010671672,GNCTV,% MARK PATTERSON,1814 W TACOMA ST,BROKEN ARROW,OK,74012-1406,0000,03,3,7000,200211,1,15,000000000,1,01,202112,4,5,01,0,12,104352,931928,931928,X82,
010681140,FIVE FOLD MINISTRY CHURCH INC,% HOWARD L KNOX,PO BOX 890223,OKLAHOMA CITY,OK,73189-0223,0000,03,3,7000,200508,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010693374,RONALD E AND ELEANOR J HALL FOUNDATION,% AMERITRUST CORPORATION,4506 S HARVARD AVE,TULSA,OK,74135-2906,0000,03,3,1000,200403,1,04,000000000,2,01,202112,5,4,00,1,12,602613,323117,,T20,
010724223,DESTINY CHRISTIAN SCHOOL INC,,PO BOX 15300,DEL CITY,OK,73155-5300,0000,03,3,2700,200209,1,11,000000000,1,01,,0,0,13,0,06,,,,B20,
