EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010370716,SPURWINK-RI,% RAYMOND A ARSENAULT,1 SPURWINK PL,CRANSTON,RI,02910-2012,5573,03,6,2000,200909,2,11,046030031,5,01,202012,6,7,01,0,12,2138083,7900988,7900988,F33Z,
010520871,RETIREE MEDICAL AND LIFE INSURANCE PLAN FOR FORMER CONSUMERS AND AMER,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,09,3,1000,199811,2,00,265000000,2,01,202012,7,6,01,0,12,6285618,1045982,418462,,
010526522,CRITICAL CERAMICS,% FORREST J SNYDER,156 LANCASTER ST,PROVIDENCE,RI,02906-2533,0000,03,3,2000,199911,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,A25,
010560186,AMERICAN COLLEGE OF HEALTHCARE EXECUTIVES,,334 KNIGHT ST UNIT 1210,WARWICK,RI,02886-5807,4330,06,9,2000,198310,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,S41,ACHE RHODE ISLAND CHAPTER
010567509,ARCTIC VILLAGE ASSOCIATION,% DENISE TOURANGEAU,PO BOX 181,WEST WARWICK,RI,02893-0181,0000,04,3,1000,200409,2,00,000000000,1,01,202012,0,0,02,0,12,0,0,0,S80,
010575469,JOE STRAUSS FOUNDATION INC,% JO ELLEN & STEVEN HOROWITZ,37 LANE F,COVENTRY,RI,02816-6244,0000,03,3,2000,200207,1,16,000000000,1,01,202012,2,1,02,0,12,10807,7,7,N64,
010607428,PRESCHOOL PARENTS ASSOCIATION OF CUMBERLAND,% CHRISTNE VERMA,130 SCOTT RD,CUMBERLAND,RI,02864-2812,0000,03,3,1200,200407,1,15,000000000,5,01,202006,0,0,02,0,06,0,0,0,B112,
010623734,FRIENDS OF DRESDEN MUSIC FOUNDATION,% C/O EDWIN G FISCHER MD,8 HALIDON AVE,NEWPORT,RI,02840-3816,0000,03,3,1000,200207,1,16,000000000,1,01,202112,3,3,01,0,12,66467,55135,55135,A12,
010649850,NATIONAL UTILITY CONTRACTORS ASSOCIATION OF RHODE ISLAND,% ROBERT LAFLEUR,PO BOX 881,GREENVILLE,RI,02828-0881,0000,06,3,2000,200512,2,00,000000000,1,01,202012,4,4,01,0,12,328212,172183,171590,S41,
010677391,NEW ENGLAND ASSOCIATION OF DRUG COURT PROFESSIONALS,% LINDA LYNCH,ONE DORRANCE PLAZA,PROVIDENCE,RI,02903-3932,0000,03,3,1000,200208,1,16,000000000,1,01,202012,3,4,01,0,12,87833,189008,189008,I50,
010681961,BEECHWOOD FOUNDATION INC,% KEITH B KYLE,50 DUDLEY AVE,NEWPORT,RI,02840-1208,0000,03,3,1000,201509,1,15,000000000,1,01,202109,1,3,02,0,09,5433,28798,28798,A65,
010711160,HOPE RESEARCH CENTER INC,% CATHERINE PASTILLE,3 SHADOWBROOK LN APT F,SMITHFIELD,RI,02917-0000,0000,03,3,1000,200307,1,04,000000000,1,25,200712,0,1,00,0,12,0,1,,V23,
010729022,EAST BAY HOUSING OPTIONS INC,% JOSEPH DIGIANFILIPPO,2756 POST RD STE 104,WARWICK,RI,02886-3077,0000,03,3,1200,200304,1,16,000000000,1,01,202106,5,3,01,0,06,994466,75588,75588,P70,
010741810,CHABAD OF COLLEGE HILL INC,% RABBI MENDEL LAUFER,12 OLIVE ST,PROVIDENCE,RI,02906-1310,0000,03,3,7000,200307,1,10,000000000,1,01,,0,0,06,0,12,,,,X30,
010746898,ACTS OF KINDNESS INC,% MICHAEL G MARRA,243 KNIGHT ST,PROVIDENCE,RI,02909-1116,0000,03,3,1000,200301,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,P20,A O K
010755021,BRISTOL THEATRE COMPANY,% EDWARD P CARUSI,11 BROADCOMMON ROAD 205,BRISTOL,RI,02809-2758,0000,03,3,2000,200405,1,16,000000000,1,01,202110,3,2,02,0,10,46422,10625,10625,A65,
010817983,NORTHEAST VOLUNTEERS IN OPTOMETRIC SERVICE TO HUMANITY INC,% CARL SAKOVITS,191 AMERICA WAY,JAMESTOWN,RI,02835-1806,0000,03,3,1000,200902,1,15,000000000,1,01,202106,0,0,02,0,06,0,0,0,Q33,NEVOSH
010856587,RESERVOIR MINISTRIES INC,% ROBERT D RUSSELL,3 ROCKY HILL RD,SMITHFIELD,RI,02917-1307,1620,03,9,7000,196402,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010893186,ALMOST HOME RESCUE,% CARLA CICCONE,PO BOX 6111,PROVIDENCE,RI,02940-6111,0000,03,3,1000,200806,1,16,000000000,1,01,202112,0,0,02,0,12,0,0,0,D200,
010918014,FILIPINO-AMERICAN ASSOCIATION OF NEWPORT COUNTY INC,% NO,69 HALL AVE,NEWPORT,RI,02840-1621,0000,03,3,1000,201304,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,A23,
010961341,AIR FORCE ASSOCIATION,% STEVE WINSOR,169 DOUGLAS HOOK RD,CHEPACHET,RI,02814-1350,5392,03,9,1000,200909,1,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,B034,311 AF METRO RI CHAPTER
016006978,VESTA F EMERY GIRL SC & VNA 59-6130779930,% SANFORD TR CO TRUSTEE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,92,0,1000,000000,0,00,000000000,0,12,202108,4,3,00,1,08,290394,63031,,,62
016007890,JOHN B KEHOE TRUST 5047-00-5,% FLEET BANK OF MAINE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199303,1,04,602000000,2,01,202108,4,3,00,1,08,417129,79275,,,MAINE NATIONAL BANK TR
016007915,ELEANOR M DONNELL TRUST,% FLEET BANK OF MAINE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,92,0,1000,000000,0,00,000000000,0,12,202108,4,3,00,1,08,154579,30157,,,MAINE NATIONAL BANK TR
016007917,LELIA M FORSTER TRUST 5070-00-7 FBO MAINE STATE SOCIETY FOR THE,% FLEET BANK OF MAINE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,92,0,1000,000000,0,00,000000000,0,12,202108,4,2,00,1,08,107064,20737,,,MAINE NATIONAL BANK TR
016007918,LELIA M FORSTER TRUST 5071-00-3 FBO ANIMAL RESCUE LEAGUE,% FLEET BANK OF MAINE,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,92,0,1000,000000,0,00,000000000,0,12,202108,4,2,00,1,08,108348,21217,,,MAINE NATIONAL BANK TR
016008020,BENJAMIN L DONNELL TRUST,,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,03,3,1000,199303,1,04,602000000,2,01,202108,5,4,00,1,08,644222,113230,,T00Z,FLEET BANK OF MAINE
016008091,HOWARD A TRIBOU TRUST B 5207-00-2 FBO,% FLEET PRIVATE CLIENTS GROUP,PO BOX 1802,PROVIDENCE,RI,02901-1802,0000,92,0,1000,000000,0,00,000000000,0,12,202108,4,3,00,1,08,419405,84655,,,CAMDEN COMM HOSPITAL & KNOX CO HOSP
