EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010430328,KANZEON INC,,32 W 200 S,SALT LAKE CTY,UT,84101-1603,0000,03,3,7000,198809,1,10,001029000,1,01,,0,0,06,0,12,,,,,
010584107,YOUTH DRIVING FOR VALUES,% PAUL PUGMIRE,680 W 3300 S,S SALT LAKE,UT,84119-3320,0000,03,3,1000,200209,1,15,000000000,1,01,202112,4,4,01,0,12,283158,494308,430149,N6A,
010589975,BLANDING COMMUNITY LEGACY TRUST,% BRETT HOSLER,50 W 100 S,BLANDING,UT,84511-3743,0000,03,3,1000,200206,1,15,000000000,1,01,202206,0,0,02,0,06,0,0,0,T31,
010600848,LEGACY CHARITABLE FOUNDATION,% DAVID J BROMLEY,716 EAST 4500 SOUTH 260,MURRAY,UT,84107-3080,0000,03,3,1000,200512,1,17,000000000,1,01,202112,3,3,01,0,12,91570,75003,70741,T20,
010660932,WORLD CONGRESS OF HERPETOLOGY,% ALAN H SAVITZKY,1054 SUMAC DR,LOGAN,UT,84321-4814,0000,03,3,2000,200211,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,B03,
010674266,UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM,% WADE STARKS,3075 N MAIN ST,SPANISH FORK,UT,84660-9506,0000,03,3,1000,202303,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,M23,
010682379,NATIONAL EXCHANGE CLUB,% RENEE MILLER,5347 S MAJESTIC VILLAGE CIR,MURRAY,UT,84123-4547,1097,04,9,1000,195009,2,00,059328000,5,01,202206,0,0,02,0,06,0,0,0,,2765 MURRAY UT
010693259,MILTON CEMETARY ASSOCIATION,% DOUGLAS FORD,1410 N MORGAN VALLEY DR,MORGAN,UT,84050-9636,0000,13,3,2000,200208,1,00,000000000,1,01,202104,0,0,02,0,04,0,0,0,Y50,
010703942,SARATOGA SPRINGS FIREFIGHTERS ASSOCIATION,% DARREN WRIGHT,995 W 1200 N,SARATOGA SPGS,UT,84045-5418,0000,03,3,1000,200301,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,M24,
010705322,COURAGEOUS CHRISTIANS UNITED,% ROB SIVULKA,6694 S SOL RISE DR,WEST JORDAN,UT,84081-8151,0000,03,3,1270,200307,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,X802,
010714863,COMMUNITY HOUSING SERVICES INC,% PHILLIP CARROL,649 E SOUTH TEMPLE,SALT LAKE CTY,UT,84102-1153,7216,03,9,1000,199505,1,15,380000000,1,01,202212,5,4,01,0,12,928601,250580,250580,,CEDAR CANYON INC
010715737,INTERNATIONAL FEDERATION FOR THE ADIPOSE THERAPEUTICS AND SCIENCE,% MAGEE WOMANS HOSPITAL,6300 SAGEWOOD DRIVE H255,PARK CITY,UT,84098-7502,0000,03,3,2000,200304,1,04,000000000,1,01,202212,4,4,00,1,12,103523,214895,,H03,
010726374,MAYA RELIEF FOUNDATION,% LEON REINHART,6545 W 10760 N,HIGHLAND,UT,84003-3412,0000,03,3,1000,200212,1,03,000000000,2,01,202212,3,4,00,1,12,81046,203606,,T22,
