EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010180687,WINDSOR IMPROVEMENT CORPORATION,% HAROLD PYKE,PO BOX 455,WINDSOR,VT,05089-0455,0000,03,3,1000,200211,1,15,000000000,1,01,202406,6,4,01,0,06,1416834,433360,324462,S30,
010471151,REGULATORY ASSISTANCE PROJECT,% FREDERICK W WESTON II DIRECTOR,50 STATE ST,MONTPELIER,VT,05602-2957,0000,03,3,1000,199208,1,15,149000000,1,01,202312,8,7,01,0,12,10509027,8418755,8418755,C40Z,
010477533,NORTHERN NEW ENGLAND SCHOOL OF BANKING,% MAINE BANKERS ASSOC,PO BOX 587,MONTPELIER,VT,05601-0587,0000,03,3,2000,199308,1,16,149000000,1,01,202412,4,4,01,0,12,104727,205121,205121,A20Z,
010532101,NERGG INC,% CYNTHIA L INGHAM,PO BOX 4296,BURLINGTON,VT,05406-4296,0000,03,3,1000,200012,1,15,000000000,1,01,202412,4,4,01,0,12,185015,150379,150379,T70,
010532229,NEW ENGLAND RURAL HEALTH ROUNDTABLE,,146 AIRPORT RD,BARRE,VT,05641-8645,0000,03,3,2000,200102,1,15,000000000,1,01,202406,5,6,01,0,06,793198,2398023,2398023,E99,
010558737,BATTEN KILL WATERSHED ALLIANCE INC,,PO BOX 734,ARLINGTON,VT,05250-0734,0000,03,3,2100,200209,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A80,
010565606,TIMMYS KIDS INC,% LISA BOVAT CLARK,108 MOUNTAIN VIEW DRIVE,SWANTON,VT,05488-0000,0000,03,3,1000,200210,4,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,P30,
010569069,COLCHESTER FOOTBALL BOOSTERS ASSOCIATION INCORPORATED,% CARA CUNNINGHAM,PO BOX 618,COLCHESTER,VT,05446-0618,0000,03,3,1000,200207,1,16,000000000,1,01,202412,4,3,01,0,12,145064,88922,88922,B112,
010569076,NORTH DANVILLE BAPTIST CHURCH,% RAYMOND CLOUSTRE,1767 N DANVILLE RD,DANVILLE,VT,05828-9546,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,170
010581546,BIG HEAVY WORLD FOUNDATION INC,% JAMES LOCKRIDGE,PO BOX 428,BURLINGTON,VT,05402-0428,0000,03,3,2000,201007,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,A68,
010588395,AMERICAN EMU ASSOCIATION,% DEE DEE MARES,179 SCOTT ROAD,NEWBURY,VT,05051-9801,7202,05,9,1000,199409,2,00,237000000,1,01,202312,0,0,02,0,12,0,0,0,K26,NEW ENGLAND
