EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010549451,LITTLE LEAGUE BASEBALL INC,% JOHN SHUFFLEBARGER,100 CAMERON ST,CRAB ORCHARD,WV,25827-9436,3158,03,9,1000,196701,1,15,321059000,1,01,202209,3,3,01,0,09,32336,85143,69728,N63,3480414 SOPHIA LL
010582384,ST STEPHEN BAPTIST CHURCH,% RUSSELL E MEDLEY,PO BOX 4095,STAR CITY,WV,26504-4095,0000,03,3,7000,200502,1,10,000000000,1,01,202212,0,0,06,0,12,0,0,0,X20,
010607464,WESTMORELAND APARTMENTS INC,,3609 HUGHES STREET,HUNTINGTON,WV,25704-1952,0000,03,3,1000,200207,1,15,000000000,1,01,202209,6,4,01,0,09,1980200,132397,132397,L22,
010614518,DESTINY BAPTIST CHURCH,,115 N RALEIGH ST,MARTINSBURG,WV,25401-2767,0000,03,3,7000,200707,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010621770,HANDS OF HOPE MINISTRIES INC,% JOSEPH T WEBB III,2 OAKHURST DR,WELCH,WV,24801-2116,0000,03,3,1000,200210,1,15,000000000,1,01,202212,3,4,01,0,12,88335,109150,107510,P28,
010632649,WAYNE FAMILY RESOURCE NETWORK INC,% DONNA THOMPSON,524 HENDRICKS STREET,WAYNE,WV,25570-0000,0000,03,3,1000,200208,1,15,000000000,1,01,202306,0,0,02,0,06,0,0,0,P20,
010647193,PA PROFESSIONAL LUMBER JACK ORGANIZATION INC,% ROLAND & SCHLEGEL PC,130 MOUNTAIN RIDGE RD,MORGANTOWN,WV,26508-1565,0000,03,3,2000,202203,1,16,000000000,1,01,202212,0,0,02,0,12,0,0,0,N70,
010656622,HUNTINGTON JEWISH BENEVOLENT ASSOCIATION INC,,16 NANCY LN,BARBOURSVILLE,WV,25504-1164,0000,03,3,1000,200207,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,T30,
010659623,MORRIS CREEK WATERSHED ASSOCIATION INC,% WANDA KING,346 MORRIS DR,MONTGOMERY,WV,25136-2335,0000,03,3,1000,200302,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,C30,
010666085,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JAMES CLUTTER,2017 WILDCAT RD,IRELAND,WV,26376-9313,0239,04,9,3000,000000,2,00,911520000,5,01,202106,0,0,02,0,06,0,0,0,,65134 IRELAND
